year,new_district_id,candidate,party,estimated_votes
2016,1,Ashby,LIBERTARIAN,8.643224153153735
2016,1,Hensarling,REPUBLICAN,80.30675969593213
2016,5,Ashby,LIBERTARIAN,1933.5440306461987
2016,5,Hensarling,REPUBLICAN,13129.962892997086
2016,10,Ashby,LIBERTARIAN,15.812745200647665
2016,10,Hensarling,REPUBLICAN,163.73034730698282
2016,17,Ashby,LIBERTARIAN,0.0
2016,17,Hensarling,REPUBLICAN,0.0
2018,1,GOODEN,REPUBLICAN,67.57682451493422
2018,1,WOOD,DEMOCRAT,13.536206042595346
2018,5,GOODEN,REPUBLICAN,11205.769885338512
2018,5,WOOD,DEMOCRAT,3131.012027157803
2018,10,GOODEN,REPUBLICAN,147.6532901465539
2018,10,WOOD,DEMOCRAT,17.45176679960175
2018,17,GOODEN,REPUBLICAN,0.0
2018,17,WOOD,DEMOCRAT,0.0
2020,1,GOODEN,REPUBLICAN,88.7120658095915
2020,1,HALE,LIBERTARIAN,1.13404397355557
2020,1,SALTER,DEMOCRAT,15.958059306156729
2020,5,GOODEN,REPUBLICAN,14598.233499448315
2020,5,HALE,LIBERTARIAN,260.5034360724825
2020,5,SALTER,DEMOCRAT,3879.3416165842327
2020,10,GOODEN,REPUBLICAN,194.05443474209378
2020,10,HALE,LIBERTARIAN,2.3625199539619524
2020,10,SALTER,DEMOCRAT,19.70032410961058
2020,17,GOODEN,REPUBLICAN,0.0
2020,17,HALE,LIBERTARIAN,0.0
2020,17,SALTER,DEMOCRAT,0.0
2022,1,ELLZEY,REPUBLICAN,67.74199453022375
2022,5,ELLZEY,REPUBLICAN,11761.910860369717
2022,10,ELLZEY,REPUBLICAN,149.34714510005958
2022,17,ELLZEY,REPUBLICAN,0.0
2024,1,ELLZEY,REPUBLICAN,97.01886857462799
2024,1,LOVE,DEMOCRAT,15.90004091564916
2024,5,ELLZEY,REPUBLICAN,15048.051534099039
2024,5,LOVE,DEMOCRAT,3360.8683307483548
2024,10,ELLZEY,REPUBLICAN,201.92959732633486
2024,10,LOVE,DEMOCRAT,20.23162833599587
2024,17,ELLZEY,REPUBLICAN,0.0
2024,17,LOVE,DEMOCRAT,0.0
