old_precinct_id,new_district_id,fragment_population,precinct_total,weight
10001,5,4432,4432,1.0
10002,5,5075,5314,0.955024463680843
10002,10,239,5314,0.04497553631915695
10003,5,3836,3836,1.0
10004,1,0,3493,0.0
10004,5,3239,3493,0.9272831377039794
10004,10,254,3493,0.07271686229602062
10005,1,0,986,0.0
10005,5,735,986,0.7454361054766734
10005,10,251,986,0.25456389452332656
10006,5,3128,3128,1.0
10007,5,4538,4538,1.0
10008,5,1637,1637,1.0
10009,5,3060,3060,1.0
10009,10,0,3060,0.0
10009,17,0,3060,0.0
10010,5,7994,7994,1.0
10010,17,0,7994,0.0
10011,5,9157,9157,1.0
10011,17,0,9157,0.0
10013,5,4705,4705,1.0
10015,1,0,1723,0.0
10015,5,1723,1723,1.0
10016,1,4,1380,0.002898550724637681
10016,5,1376,1380,0.9971014492753624
10017,5,2173,2173,1.0
10018,1,244,3365,0.07251114413075781
10018,5,3121,3365,0.9274888558692422
10019,5,4490,4490,1.0
10020,5,3700,3700,1.0
10021,5,6146,6146,1.0
10022,5,2673,2673,1.0
10023,5,2653,2653,1.0
10024,5,1870,1870,1.0
10024,17,0,1870,0.0
