year,new_district_id,candidate,party,estimated_votes
2016,11,Conaway,REPUBLICAN,0.14752837084054626
2016,11,Landholt,LIBERTARIAN,0.013271783035199077
2016,19,Conaway,REPUBLICAN,4141.229659549914
2016,19,Landholt,LIBERTARIAN,382.8407386035776
2016,23,Conaway,REPUBLICAN,1.6228120792460088
2016,23,Landholt,LIBERTARIAN,0.14598961338718985
2018,11,CONAWAY,REPUBLICAN,0.1102135025966532
2018,11,LEEDER,DEMOCRAT,0.030582804385458743
2018,11,SMITH,LIBERTARIAN,0.0009617234083477592
2018,19,CONAWAY,REPUBLICAN,3417.67743796884
2018,19,LEEDER,DEMOCRAT,655.6330063473745
2018,19,SMITH,LIBERTARIAN,47.988459319099825
2018,23,CONAWAY,REPUBLICAN,1.2123485285631852
2018,23,LEEDER,DEMOCRAT,0.3364108482400462
2018,23,SMITH,LIBERTARIAN,0.010578957491825351
2020,11,CODY,LIBERTARIAN,0.0030775149067128293
2020,11,HOGG,DEMOCRAT,0.0367378341988844
2020,11,PFLUGER,REPUBLICAN,0.16868628582419695
2020,19,CODY,LIBERTARIAN,108.96306982111945
2020,19,HOGG,DEMOCRAT,797.5591459896134
2020,19,PFLUGER,REPUBLICAN,4884.975764570109
2020,23,CODY,LIBERTARIAN,0.033852663973841124
2020,23,HOGG,DEMOCRAT,0.40411617618772844
2020,23,PFLUGER,REPUBLICAN,1.8555491440661667
2022,11,ARRINGTON,REPUBLICAN,0.10427380741266182
2022,11,LEWIS,OTHER,0.01702429508778152
2022,19,ARRINGTON,REPUBLICAN,3275.748714311048
2022,19,LEWIS,OTHER,415.7957084589466
2022,23,ARRINGTON,REPUBLICAN,1.14701188153928
2022,23,LEWIS,OTHER,0.18726724596559674
2024,11,ARRINGTON,REPUBLICAN,0.1684695868061713
2024,11,JOHNSON,LIBERTARIAN,0.01471892179464444
2024,11,LEWIS,OTHER,0.01046284802269906
2024,19,ARRINGTON,REPUBLICAN,5000.978364958326
2024,19,JOHNSON,LIBERTARIAN,349.8233729384643
2024,19,LEWIS,OTHER,275.8744458237276
2024,23,ARRINGTON,REPUBLICAN,1.8531654548678844
2024,23,JOHNSON,LIBERTARIAN,0.16190813974108884
2024,23,LEWIS,OTHER,0.11509132824968966
