year,new_district_id,candidate,party,estimated_votes
2016,1,Gohmert,REPUBLICAN,198.437722280411
2016,1,Gray,LIBERTARIAN,3.9143146945019254
2016,1,McKellar,DEMOCRAT,33.34876895653522
2016,10,Gohmert,REPUBLICAN,1.978019862858218
2016,10,Gray,LIBERTARIAN,0.054039832993152334
2016,10,McKellar,DEMOCRAT,0.34425041596826295
2016,36,Gohmert,REPUBLICAN,21688.584257856728
2016,36,Gray,LIBERTARIAN,538.031645472505
2016,36,McKellar,DEMOCRAT,7073.306980627496
2018,1,CALLAWAY,LIBERTARIAN,2.1444262532880796
2018,1,GOHMERT,REPUBLICAN,173.89503069834296
2018,1,MCKELLAR,DEMOCRAT,31.42344485016129
2018,10,CALLAWAY,LIBERTARIAN,0.008881416327709335
2018,10,GOHMERT,REPUBLICAN,1.8760895899124796
2018,10,MCKELLAR,DEMOCRAT,0.33761391482326947
2018,36,CALLAWAY,LIBERTARIAN,317.8466923303842
2018,36,GOHMERT,REPUBLICAN,19055.228879711744
2018,36,MCKELLAR,DEMOCRAT,6674.238941235016
2020,1,GILBERT,DEMOCRAT,44.08874274304597
2020,1,GOHMERT,REPUBLICAN,240.4491259816606
2020,10,GILBERT,DEMOCRAT,0.4315443436000964
2020,10,GOHMERT,REPUBLICAN,2.6760535216204397
2020,36,GILBERT,DEMOCRAT,9081.479712913355
2020,36,GOHMERT,REPUBLICAN,25015.87482049672
2022,1,SESSIONS,REPUBLICAN,137.2236942676493
2022,1,WOODS,DEMOCRAT,18.619505833064032
2022,10,SESSIONS,REPUBLICAN,2.5780824778515106
2022,10,WOODS,DEMOCRAT,0.2087245793403782
2022,36,SESSIONS,REPUBLICAN,19005.198223254498
2022,36,WOODS,DEMOCRAT,5153.171769587596
2024,1,LORENZEN,DEMOCRAT,24.637207942045936
2024,1,SESSIONS,REPUBLICAN,186.62368082117948
2024,10,LORENZEN,DEMOCRAT,0.3414799174241875
2024,10,SESSIONS,REPUBLICAN,3.5856330438927326
2024,36,LORENZEN,DEMOCRAT,7416.02131214053
2024,36,SESSIONS,REPUBLICAN,25728.79068613493
