old_precinct_id,new_district_id,fragment_population,precinct_total,weight
50001,36,2636,2636,1.0
50002,36,7223,7223,1.0
50003,1,64,4923,0.013000203128173878
50003,36,4859,4923,0.9869997968718262
50004,1,98,4698,0.020859940400170286
50004,36,4600,4698,0.9791400595998297
50005,36,5138,5138,1.0
50006,1,34,3490,0.009742120343839542
50006,36,3456,3490,0.9902578796561604
50007,10,0,4261,0.0
50007,36,4261,4261,1.0
50008,36,3289,3289,1.0
50009,36,890,890,1.0
50010,36,4123,4123,1.0
50011,1,0,5448,0.0
50011,36,5448,5448,1.0
50012,36,3186,3186,1.0
50013,36,2387,2387,1.0
50014,36,5864,5864,1.0
50015,10,0,3475,0.0
50015,36,3475,3475,1.0
50016,10,0,4835,0.0
50016,36,4835,4835,1.0
50017,1,0,3128,0.0
50017,10,0,3128,0.0
50017,36,3128,3128,1.0
50018,36,2653,2653,1.0
50019,36,3422,3422,1.0
50020,36,7293,7293,1.0
50021,36,2841,2841,1.0
50022,1,561,3382,0.16587817859254878
50022,10,0,3382,0.0
50022,36,2821,3382,0.8341218214074512
50023,36,3047,3047,1.0
50024,36,7715,7715,1.0
50025,36,7512,7512,1.0
50026,36,3331,3331,1.0
50027,10,8,1770,0.004519774011299435
50027,36,1762,1770,0.9954802259887006
50028,36,3720,3720,1.0
50029,1,135,4717,0.028619885520457918
50029,36,4582,4717,0.9713801144795421
50030,1,0,2335,0.0
50030,36,2335,2335,1.0
50031,10,8,1822,0.0043907793633369925
50031,36,1814,1822,0.995609220636663
50032,10,8,490,0.0163265306122449
50032,36,482,490,0.9836734693877551
50033,36,3306,3306,1.0
50034,36,4577,4577,1.0
50035,36,4208,4208,1.0
50037,36,3359,3359,1.0
50038,36,1832,1832,1.0
50039,36,2073,2073,1.0
50040,36,3790,3790,1.0
5011B,36,3012,3012,1.0
5017B,36,1122,1122,1.0
