year,new_district_id,candidate,party,estimated_votes
2016,15,Barrera,DEMOCRAT,1847.516812788583
2016,15,Farenthold,REPUBLICAN,5560.330347639111
2016,27,Barrera,DEMOCRAT,685.4831872114169
2016,27,Farenthold,REPUBLICAN,2288.6696523608894
2018,15,CLOUD,REPUBLICAN,4684.6989304226145
2018,15,DUERR,OTHER,114.2178858042256
2018,15,HOLGUIN,DEMOCRAT,1465.9344524042508
2018,15,TINUS,LIBERTARIAN,45.558634538280515
2018,27,CLOUD,REPUBLICAN,1991.3010695773858
2018,27,DUERR,OTHER,42.78211419577439
2018,27,HOLGUIN,DEMOCRAT,555.0655475957491
2018,27,TINUS,LIBERTARIAN,17.44136546171948
2020,15,CLOUD,REPUBLICAN,6642.531725158315
2020,15,DE LA FUENTE,DEMOCRAT,1786.444777286311
2020,15,GRAY,LIBERTARIAN,162.42563536705924
2020,27,CLOUD,REPUBLICAN,2715.468274841685
2020,27,DE LA FUENTE,DEMOCRAT,673.5552227136891
2020,27,GRAY,LIBERTARIAN,58.57436463294077
2022,15,CLOUD,REPUBLICAN,5363.60103844531
2022,15,PEREZ,DEMOCRAT,1394.2720280106018
2022,27,CLOUD,REPUBLICAN,2262.3989615546907
2022,27,PEREZ,DEMOCRAT,558.727971989398
2024,15,CLOUD,REPUBLICAN,7194.522527754969
2024,15,LLOYD,DEMOCRAT,1877.001271277882
2024,27,CLOUD,REPUBLICAN,2960.4774722450325
2024,27,LLOYD,DEMOCRAT,727.9987287221179
