old_precinct_id,new_district_id,fragment_population,precinct_total,weight
70001,15,3890,5148,0.7556332556332557
70001,27,1258,5148,0.24436674436674435
70002,15,10046,10938,0.9184494423112086
70002,27,892,10938,0.08155055768879137
70003,15,7740,10891,0.710678541915343
70003,27,3151,10891,0.28932145808465703
70004,15,6270,9674,0.6481290055819723
70004,27,3404,9674,0.3518709944180277
7001A,15,3604,4983,0.7232590808749749
7001A,27,1379,4983,0.2767409191250251
7004A,15,540,1643,0.3286670724284845
7004A,27,1103,1643,0.6713329275715155
