year,new_district_id,candidate,party,estimated_votes
2016,13,DeWeese,LIBERTARIAN,171.93500812727586
2016,13,Thornberry,REPUBLICAN,3772.562986312275
2016,13,Tomlinson,OTHER,100.3143845972231
2016,25,DeWeese,LIBERTARIAN,1.0649918727241359
2016,25,Thornberry,REPUBLICAN,34.43701368772494
2016,25,Tomlinson,OTHER,0.685615402776895
2018,13,DEWEESE,LIBERTARIAN,43.66440919093499
2018,13,SAGAN,DEMOCRAT,307.48795112434885
2018,13,THORNBERRY,REPUBLICAN,3218.26924915776
2018,25,DEWEESE,LIBERTARIAN,0.3355908090650152
2018,25,SAGAN,DEMOCRAT,2.512048875651166
2018,25,THORNBERRY,REPUBLICAN,30.73075084224004
2020,13,JACKSON,REPUBLICAN,4191.132954271929
2020,13,TRUJILLO,DEMOCRAT,401.22604619495655
2020,13,WESTBROOK,LIBERTARIAN,70.38539694086597
2020,25,JACKSON,REPUBLICAN,37.86704572807069
2020,25,TRUJILLO,DEMOCRAT,2.7739538050434374
2020,25,WESTBROOK,LIBERTARIAN,0.6146030591340375
2022,13,BROWN,DEMOCRAT,349.8808343282776
2022,13,JACKSON,REPUBLICAN,3448.856838149476
2022,25,BROWN,DEMOCRAT,2.119165671722401
2022,25,JACKSON,REPUBLICAN,30.143161850523555
2024,13,JACKSON,REPUBLICAN,4677.1663956281445
2024,25,JACKSON,REPUBLICAN,39.83360437185597
