year,new_district_id,candidate,party,estimated_votes
2016,23,Cary,OTHER,11.273248511132111
2016,23,Cuellar,DEMOCRAT,244.02448667612566
2016,23,Hardin,REPUBLICAN,300.4667976741786
2016,28,Cary,OTHER,229.86614226323354
2016,28,Cuellar,DEMOCRAT,5748.86364947776
2016,28,Hardin,REPUBLICAN,6427.783161130161
2016,35,Cary,OTHER,9.860609225634345
2016,35,Cuellar,DEMOCRAT,213.1118638461142
2016,35,Hardin,REPUBLICAN,257.7500411956612
2018,23,CUELLAR,DEMOCRAT,307.74162570408885
2018,23,THOMAS,LIBERTARIAN,109.61361721909648
2018,28,CUELLAR,DEMOCRAT,6585.521672613994
2018,28,THOMAS,LIBERTARIAN,2179.610538359135
2018,35,CUELLAR,DEMOCRAT,244.7367016819165
2018,35,THOMAS,LIBERTARIAN,95.77584442176843
2020,23,CONGDON,LIBERTARIAN,13.12122500117724
2020,23,CUELLAR,DEMOCRAT,332.0277561088699
2020,23,WHITTEN,REPUBLICAN,444.2348151444325
2020,28,CONGDON,LIBERTARIAN,231.13437988879338
2020,28,CUELLAR,DEMOCRAT,6993.742006859316
2020,28,WHITTEN,REPUBLICAN,9266.41814456948
2020,35,CONGDON,LIBERTARIAN,12.74439511002934
2020,35,CUELLAR,DEMOCRAT,261.2302370318142
2020,35,WHITTEN,REPUBLICAN,371.3470402860884
2022,23,CUELLAR,DEMOCRAT,198.37791465654686
2022,23,GARCIA,REPUBLICAN,326.7426338111252
2022,28,CUELLAR,DEMOCRAT,4228.5528079192
2022,28,GARCIA,REPUBLICAN,7225.567043803681
2022,35,CUELLAR,DEMOCRAT,191.0692774242527
2022,35,GARCIA,REPUBLICAN,327.6903223851943
2024,23,CUELLAR,DEMOCRAT,288.39545839096485
2024,23,FURMAN,REPUBLICAN,494.74188102865037
2024,28,CUELLAR,DEMOCRAT,5541.4371028789365
2024,28,FURMAN,REPUBLICAN,10712.341427750553
2024,35,CUELLAR,DEMOCRAT,285.16743873009847
2024,35,FURMAN,REPUBLICAN,490.9166912207975
