old_precinct_id,new_district_id,fragment_population,precinct_total,weight
130001,28,2171,2171,1.0
130002,23,1032,8993,0.11475592127210052
130002,28,6557,8993,0.7291226509507395
130002,35,1404,8993,0.15612142777716
130003,28,6101,6101,1.0
130004,28,263,294,0.8945578231292517
130004,35,31,294,0.1054421768707483
130005,28,6057,6272,0.9657206632653061
130005,35,215,6272,0.034279336734693876
130006,28,341,341,1.0
130007,28,4319,4776,0.9043132328308208
130007,35,457,4776,0.09568676716917923
130008,28,2887,2887,1.0
130009,28,472,549,0.8597449908925319
130009,35,77,549,0.14025500910746813
130010,23,1389,6608,0.21019975786924938
130010,28,5219,6608,0.7898002421307506
130011,28,102,121,0.8429752066115702
130011,35,19,121,0.15702479338842976
130012,23,695,3487,0.19931172928018354
130012,28,2509,3487,0.719529681674792
130012,35,283,3487,0.08115858904502438
130013,28,6830,6830,1.0
130014,28,859,859,1.0
130015,28,5125,5125,1.0
130016,28,1426,1426,1.0
130017,28,4564,4564,1.0
130018,23,170,3401,0.049985298441634816
130018,28,3231,3401,0.9500147015583652
130019,28,1122,1122,1.0
130020,28,6566,6566,1.0
130021,28,579,639,0.9061032863849765
130021,35,60,639,0.09389671361502347
130022,28,2447,2719,0.8999632217727106
130022,35,272,2719,0.10003677822728944
130023,28,6500,7281,0.8927345144897679
130023,35,781,7281,0.10726548551023211
130024,23,1495,5846,0.25573041395826207
130024,28,3508,5846,0.600068422853233
130024,35,843,5846,0.14420116318850495
