old_precinct_id,new_district_id,fragment_population,precinct_total,weight
150101,8,118,3730,0.03163538873994638
150101,27,3612,3730,0.9683646112600536
150102,8,304,2935,0.10357751277683135
150102,27,2631,2935,0.8964224872231686
150103,8,201,4096,0.049072265625
150103,27,3895,4096,0.950927734375
150104,8,8,2441,0.0032773453502662844
150104,27,2433,2441,0.9967226546497338
150205,27,5755,5755,1.0
150206,27,2366,2366,1.0
150207,27,1348,1348,1.0
150208,27,1268,1268,1.0
150309,27,2173,2173,1.0
150310,27,5740,5740,1.0
150311,8,8,3265,0.002450229709035222
150311,27,3257,3265,0.9975497702909648
150412,8,30,1138,0.026362038664323375
150412,27,1108,1138,0.9736379613356766
150413,8,0,2803,0.0
150413,22,0,2803,0.0
150413,27,2803,2803,1.0
150414,27,4641,4641,1.0
150415,8,0,3061,0.0
150415,22,183,3061,0.0597843841881738
150415,27,2878,3061,0.9402156158118262
