year,new_district_id,candidate,party,estimated_votes
2016,21,Diaz,OTHER,136.48200037806257
2016,21,Loewe,LIBERTARIAN,382.7319131502918
2016,21,Smith,REPUBLICAN,7674.9709593044045
2016,21,Wakely,DEMOCRAT,1430.5135925135191
2016,23,Diaz,OTHER,8.517999621937438
2016,23,Loewe,LIBERTARIAN,20.26808684970822
2016,23,Smith,REPUBLICAN,443.02904069559554
2016,23,Wakely,DEMOCRAT,93.48640748648083
2018,21,KOPSER,DEMOCRAT,1781.6682274357934
2018,21,ROY,REPUBLICAN,7117.394634490116
2018,21,SANTOS,LIBERTARIAN,145.66506342563164
2018,23,KOPSER,DEMOCRAT,114.33177256420656
2018,23,ROY,REPUBLICAN,401.6053655098834
2018,23,SANTOS,LIBERTARIAN,9.334936574368365
2020,21,DAVIS,DEMOCRAT,2192.5150316064087
2020,21,DIBIANCA,LIBERTARIAN,194.98021306217132
2020,21,ROY,REPUBLICAN,9320.588717782726
2020,21,WAKELY,OTHER,112.10595561429352
2020,23,DAVIS,DEMOCRAT,145.4849683935915
2020,23,DIBIANCA,LIBERTARIAN,11.019786937828691
2020,23,ROY,REPUBLICAN,540.4112822172737
2020,23,WAKELY,OTHER,5.894044385706467
2022,21,ROY,REPUBLICAN,8130.554055750079
2022,21,ZAPATA,DEMOCRAT,1724.5415994027303
2022,23,ROY,REPUBLICAN,472.4459442499195
2022,23,ZAPATA,DEMOCRAT,112.45840059726947
2024,21,HOOK,DEMOCRAT,2254.494841990685
2024,21,KING,LIBERTARIAN,276.0165981465348
2024,21,ROY,REPUBLICAN,10173.216174184694
2024,23,HOOK,DEMOCRAT,146.50515800931515
2024,23,KING,LIBERTARIAN,16.983401853465175
2024,23,ROY,REPUBLICAN,586.7838258153043
