old_precinct_id,new_district_id,fragment_population,precinct_total,weight
190101,21,4518,4518,1.0
190102,21,5174,5629,0.9191685912240185
190102,23,455,5629,0.08083140877598152
190203,21,5254,5891,0.8918689526396197
190203,23,637,5891,0.10813104736038025
190204,21,3711,4067,0.9124661912957954
190204,23,356,4067,0.08753380870420457
190305,21,5502,5502,1.0
190306,21,2169,2169,1.0
190407,21,5404,5719,0.944920440636475
190407,23,315,5719,0.05507955936352509
190408,21,600,657,0.91324200913242
190408,23,57,657,0.0867579908675799
190409,21,2133,2419,0.881769326167838
190409,23,286,2419,0.11823067383216206
190410,21,662,723,0.9156293222683264
190410,23,61,723,0.08437067773167359
