year,new_district_id,candidate,party,estimated_votes
2016,10,Cadien,DEMOCRAT,204.85425803166106
2016,10,Flores,REPUBLICAN,143.1050929668553
2016,10,Kelsey,LIBERTARIAN,22.38489917121666
2016,10,Matta,DEMOCRAT,63.24494745351657
2016,10,McCaul,REPUBLICAN,241.02854549366842
2016,10,Patterson,LIBERTARIAN,13.935327405012126
2016,17,Flores,REPUBLICAN,18.45472918350849
2016,17,Matta,DEMOCRAT,8.156022635408247
2016,17,Patterson,LIBERTARIAN,1.7970897332255458
2016,27,Barrera,DEMOCRAT,4335.0
2016,27,Cadien,DEMOCRAT,5600.145741968339
2016,27,Farenthold,REPUBLICAN,6978.0
2016,27,Flores,REPUBLICAN,105.44017784963621
2016,27,Kelsey,LIBERTARIAN,827.6151008287833
2016,27,Matta,DEMOCRAT,46.599029911075185
2016,27,McCaul,REPUBLICAN,9138.97145450633
2016,27,Patterson,LIBERTARIAN,10.267582861762328
2018,10,CHURCHMAN,LIBERTARIAN,5.8957154405820535
2018,10,FLORES,REPUBLICAN,144.1770412287793
2018,10,KENNEDY,DEMOCRAT,69.14066289409863
2018,10,MCCAUL,REPUBLICAN,218.46092929475876
2018,10,RYAN,LIBERTARIAN,16.08654451482646
2018,10,SIEGEL,DEMOCRAT,237.2085001530051
2018,17,CHURCHMAN,LIBERTARIAN,0.7603071948261925
2018,17,FLORES,REPUBLICAN,18.59296685529507
2018,17,KENNEDY,DEMOCRAT,8.916329830234439
2018,27,CHURCHMAN,LIBERTARIAN,4.343977364591754
2018,27,CLOUD,REPUBLICAN,6296.0
2018,27,DUERR,OTHER,146.0
2018,27,FLORES,REPUBLICAN,106.22999191592562
2018,27,HOLGUIN,DEMOCRAT,4310.0
2018,27,KENNEDY,DEMOCRAT,50.943007275666936
2018,27,MCCAUL,REPUBLICAN,8235.539070705241
2018,27,RYAN,LIBERTARIAN,540.9134554851735
2018,27,SIEGEL,DEMOCRAT,6525.791499846995
2018,27,TINUS,LIBERTARIAN,181.0
2020,10,BROWN,LIBERTARIAN,11.791430881164107
2020,10,ERIKSEN,LIBERTARIAN,16.458079565640055
2020,10,KENNEDY,DEMOCRAT,85.21988682295877
2020,10,MCCAUL,REPUBLICAN,306.1008193094953
2020,10,SESSIONS,REPUBLICAN,180.08730800323363
2020,10,SIEGEL,DEMOCRAT,327.6060275258375
2020,17,BROWN,LIBERTARIAN,1.520614389652385
2020,17,KENNEDY,DEMOCRAT,10.989894907033145
2020,17,SESSIONS,REPUBLICAN,23.223928860145516
2020,27,BROWN,LIBERTARIAN,8.687954729183508
2020,27,CLOUD,REPUBLICAN,8679.0
2020,27,DE LA FUENTE,DEMOCRAT,5749.0
2020,27,ERIKSEN,LIBERTARIAN,543.5419204343599
2020,27,GRAY,LIBERTARIAN,398.0
2020,27,KENNEDY,DEMOCRAT,62.79021827000808
2020,27,MCCAUL,REPUBLICAN,11305.899180690505
2020,27,SESSIONS,REPUBLICAN,132.68876313662085
2020,27,SIEGEL,DEMOCRAT,8374.393972474161
2022,10,KELSEY,LIBERTARIAN,13.041486176427886
2022,10,MCCAUL,REPUBLICAN,287.29530485408986
2022,10,NUNO,DEMOCRAT,210.6436405250976
2022,17,KELSEY,LIBERTARIAN,0.7423127939225853
2022,17,MCCAUL,REPUBLICAN,21.815748221391534
2022,17,NUNO,DEMOCRAT,11.62956710478717
2022,27,CLOUD,REPUBLICAN,8012.0
2022,27,KELSEY,LIBERTARIAN,407.2162010296495
2022,27,MCCAUL,REPUBLICAN,8618.888946924517
2022,27,NUNO,DEMOCRAT,6021.726792370116
2022,27,PEREZ,DEMOCRAT,5173.0
2024,10,BOISSEAU,DEMOCRAT,298.84837101665096
2024,10,MCCAUL,REPUBLICAN,374.7584957348179
2024,10,MILLER,LIBERTARIAN,22.352351659471314
2024,17,BOISSEAU,DEMOCRAT,17.939225853129145
2024,17,MCCAUL,REPUBLICAN,28.372844567707705
2024,17,MILLER,LIBERTARIAN,1.4433859881828048
2024,27,BOISSEAU,DEMOCRAT,7737.212403130221
2024,27,CLOUD,REPUBLICAN,11052.0
2024,27,LLOYD,DEMOCRAT,7041.0
2024,27,MCCAUL,REPUBLICAN,11356.868659697475
2024,27,MILLER,LIBERTARIAN,534.204262352346
