old_precinct_id,new_district_id,fragment_population,precinct_total,weight
211001,27,791,791,1.0
211002,27,2221,2221,1.0
211003,27,4161,4161,1.0
211004,27,4209,4209,1.0
211005,27,3176,3176,1.0
211006,27,10124,10124,1.0
211007,27,3923,3923,1.0
211008,27,3843,3843,1.0
211009,27,9249,9249,1.0
212010,27,2281,2281,1.0
212011,27,3335,3335,1.0
212012,27,4215,4215,1.0
212013,27,8118,8118,1.0
212014,10,108,6831,0.015810276679841896
212014,27,6723,6831,0.9841897233201581
212015,27,5321,5321,1.0
212016,27,4701,4701,1.0
213017,27,9558,9558,1.0
213018,27,4653,4653,1.0
213019,27,10052,10052,1.0
213020,27,11714,11714,1.0
214021,27,6867,6867,1.0
214022,27,5762,5762,1.0
214023,10,451,6601,0.06832298136645963
214023,27,6150,6601,0.9316770186335404
214024,10,2618,8293,0.31568792957916314
214024,17,342,8293,0.04123959966236585
214024,27,5333,8293,0.643072470758471
214025,10,881,8244,0.10686559922367783
214025,27,7363,8244,0.8931344007763222
214026,10,241,4472,0.05389087656529517
214026,27,4231,4472,0.9461091234347049
