year,new_district_id,candidate,party,estimated_votes
2016,13,DeWeese,LIBERTARIAN,62.74721170461132
2016,13,Thornberry,REPUBLICAN,1281.9460644273636
2016,13,Tomlinson,OTHER,33.8892850371863
2016,19,DeWeese,LIBERTARIAN,0.25278829538868214
2016,19,Thornberry,REPUBLICAN,6.053935572636517
2016,19,Tomlinson,OTHER,0.11071496281370016
2016,25,DeWeese,LIBERTARIAN,0.0
2016,25,Thornberry,REPUBLICAN,0.0
2016,25,Tomlinson,OTHER,0.0
2018,13,DEWEESE,LIBERTARIAN,15.946493979232006
2018,13,SAGAN,DEMOCRAT,130.36896663795767
2018,13,THORNBERRY,REPUBLICAN,1077.7707790976704
2018,19,DEWEESE,LIBERTARIAN,0.05350602076799324
2018,19,SAGAN,DEMOCRAT,0.6310333620423485
2018,19,THORNBERRY,REPUBLICAN,5.2292209023297636
2018,25,DEWEESE,LIBERTARIAN,0.0
2018,25,SAGAN,DEMOCRAT,0.0
2018,25,THORNBERRY,REPUBLICAN,0.0
2020,13,JACKSON,REPUBLICAN,1472.9789019528687
2020,13,TRUJILLO,DEMOCRAT,166.0888199245317
2020,13,WESTBROOK,LIBERTARIAN,39.7450241935936
2020,19,JACKSON,REPUBLICAN,7.02109804713125
2020,19,TRUJILLO,DEMOCRAT,0.9111800754683128
2020,19,WESTBROOK,LIBERTARIAN,0.2549758064063963
2020,25,JACKSON,REPUBLICAN,0.0
2020,25,TRUJILLO,DEMOCRAT,0.0
2020,25,WESTBROOK,LIBERTARIAN,0.0
2022,13,BROWN,DEMOCRAT,116.30438809718558
2022,13,JACKSON,REPUBLICAN,1175.5498335310992
2022,19,BROWN,DEMOCRAT,0.6956119028144189
2022,19,JACKSON,REPUBLICAN,5.450166468900845
2022,25,BROWN,DEMOCRAT,0.0
2022,25,JACKSON,REPUBLICAN,0.0
2024,13,JACKSON,REPUBLICAN,1421.5567434305267
2024,19,JACKSON,REPUBLICAN,6.443256569473405
2024,25,JACKSON,REPUBLICAN,0.0
