old_precinct_id,new_district_id,fragment_population,precinct_total,weight
250001,15,7942,7942,1.0
250002,15,782,948,0.8248945147679325
250002,28,104,948,0.10970464135021098
250002,35,62,948,0.06540084388185655
250003,15,11561,11561,1.0
250004,15,1019,1061,0.9604147031102733
250004,28,42,1061,0.03958529688972667
250005,15,1362,1389,0.980561555075594
250005,35,27,1389,0.019438444924406047
250006,15,2340,2346,0.9974424552429667
250006,28,6,2346,0.0025575447570332483
250009,15,1472,1472,1.0
250010,15,4482,4482,1.0
250013,15,2826,2937,0.9622063329928499
250013,28,111,2937,0.03779366700715015
250016,15,2234,2234,1.0
250017,15,2411,2411,1.0
250018,15,4511,4511,1.0
250019,15,1917,1917,1.0
