year,new_district_id,candidate,party,estimated_votes
2016,17,Ballard,LIBERTARIAN,372.30593754217944
2016,17,Carter,REPUBLICAN,6242.070520104003
2016,17,Clark,DEMOCRAT,2957.0947638671228
2016,31,Ballard,LIBERTARIAN,3332.694062457821
2016,31,Carter,REPUBLICAN,46976.92947989599
2016,31,Clark,DEMOCRAT,25980.90523613287
2016,31,Schneiderman,LIBERTARIAN,292.0
2016,31,Thomas,DEMOCRAT,4897.0
2016,31,Williams,REPUBLICAN,2581.0
2018,17,CARTER,REPUBLICAN,5397.986234733929
2018,17,HEGAR,DEMOCRAT,3209.07597186665
2018,17,HOPE,LIBERTARIAN,99.59069197373636
2018,31,CARTER,REPUBLICAN,39634.01376526606
2018,31,HEGAR,DEMOCRAT,29997.924028133348
2018,31,HOPE,LIBERTARIAN,979.4093080262636
2018,31,LINDSEY,LIBERTARIAN,160.0
2018,31,OLIVER,DEMOCRAT,4851.0
2018,31,WILLIAMS,REPUBLICAN,1827.0
2020,17,CARTER,REPUBLICAN,7803.966425618218
2020,17,IMAM,DEMOCRAT,3981.2820054094163
2020,17,PATTERSON,LIBERTARIAN,211.41221596423927
2020,31,CARTER,REPUBLICAN,59054.033574381785
2020,31,IMAM,DEMOCRAT,41065.71799459058
2020,31,KELSEY,LIBERTARIAN,351.0
2020,31,OLIVER,DEMOCRAT,7993.0
2020,31,PATTERSON,LIBERTARIAN,2171.5877840357603
2020,31,WILLIAMS,REPUBLICAN,3566.0
2022,17,CARTER,REPUBLICAN,7026.921690651093
2022,31,CARTER,REPUBLICAN,36975.0783093489
2022,31,PFLUGER,REPUBLICAN,18509.0
2024,17,CARTER,REPUBLICAN,8937.104532393425
2024,17,WHITLOW,DEMOCRAT,4010.0723764996233
2024,31,CARTER,REPUBLICAN,46924.89546760657
2024,31,PFLUGER,REPUBLICAN,28837.0
2024,31,WHITLOW,DEMOCRAT,19537.927623500378
