old_precinct_id,new_district_id,fragment_population,precinct_total,weight
270101,31,14923,14923,1.0
270102,31,10985,10985,1.0
270103,31,14730,14730,1.0
270104,17,154,13308,0.011571986774872258
270104,31,13154,13308,0.9884280132251277
270105,17,807,5216,0.15471625766871167
270105,31,4409,5216,0.8452837423312883
270106,31,14487,14487,1.0
270107,17,72,1383,0.052060737527114966
270107,31,1311,1383,0.9479392624728851
270108,17,211,3101,0.06804256691389875
270108,31,2890,3101,0.9319574330861012
270109,31,9642,9642,1.0
270110,31,15444,15444,1.0
270111,31,15374,15374,1.0
270113,31,831,831,1.0
270201,31,9884,9884,1.0
270202,31,14385,14385,1.0
270203,31,11404,11404,1.0
270204,31,12795,12795,1.0
270205,31,11473,11473,1.0
270206,31,7244,7244,1.0
270207,31,9801,9801,1.0
270208,31,14332,14332,1.0
270209,31,16006,16006,1.0
270210,31,17964,17964,1.0
270301,17,7338,8406,0.8729478943611706
270301,31,1068,8406,0.1270521056388294
270302,17,1876,11464,0.1636427076064201
270302,31,9588,11464,0.8363572923935799
270303,17,11245,12702,0.8852936545425917
270303,31,1457,12702,0.11470634545740828
270304,17,2400,2747,0.8736803785948307
270304,31,347,2747,0.12631962140516928
270305,31,6235,6235,1.0
270306,17,7984,11085,0.7202525935949481
270306,31,3101,11085,0.27974740640505186
270307,17,9937,10053,0.9884611558738685
270307,31,116,10053,0.011538844126131502
270308,17,2253,12617,0.17856859792343663
270308,31,10364,12617,0.8214314020765634
270309,17,1895,1895,1.0
270310,17,1049,1049,1.0
270311,17,775,5582,0.13883912576137586
270311,31,4807,5582,0.8611608742386242
270312,17,4059,4866,0.8341553637484587
270312,31,807,4866,0.1658446362515413
270313,31,6687,6687,1.0
270314,17,854,8819,0.09683637600634992
270314,31,7965,8819,0.90316362399365
270315,17,420,17532,0.023956194387405885
270315,31,17112,17532,0.9760438056125941
270317,17,93,14731,0.006313217025320752
270317,31,14638,14731,0.9936867829746793
270401,31,9383,9383,1.0
270402,31,4404,4404,1.0
270404,31,14349,14349,1.0
270405,31,16743,16743,1.0
270406,31,8985,8985,1.0
270408,31,21146,21146,1.0
270409,31,9010,9010,1.0
270410,31,9453,9453,1.0
270412,31,19801,19801,1.0
270413,31,23236,23236,1.0
