year,new_district_id,candidate,party,estimated_votes
2016,20,Blunt,LIBERTARIAN,12500.782917603163
2016,20,Cary,OTHER,466.18478025121175
2016,20,Castro,DEMOCRAT,80285.84276239356
2016,20,Corvalan,LIBERTARIAN,1432.1829199519252
2016,20,Cuellar,DEMOCRAT,9379.101974573041
2016,20,Diaz,OTHER,151.56183826520632
2016,20,Doggett,DEMOCRAT,31663.26664804044
2016,20,Gallego,DEMOCRAT,10128.821512042434
2016,20,Hardin,REPUBLICAN,4539.807356768102
2016,20,Hurd,REPUBLICAN,6028.31867099522
2016,20,Loewe,LIBERTARIAN,172.30319494178786
2016,20,Narvaiz,REPUBLICAN,9485.709762821936
2016,20,Pipkin,OTHER,4203.114688039615
2016,20,Smith,LIBERTARIAN,1025.6964164614963
2016,20,Smith,REPUBLICAN,2003.5567605864924
2016,20,Trimble,OTHER,863.0608617800001
2016,20,Wakely,DEMOCRAT,2373.9045933639613
2016,21,Blunt,LIBERTARIAN,9373.588427731904
2016,21,Cary,OTHER,0.0
2016,21,Castro,DEMOCRAT,34574.548024678596
2016,21,Corvalan,LIBERTARIAN,273.4886155627152
2016,21,Cuellar,DEMOCRAT,0.0
2016,21,Diaz,OTHER,1713.36396223316
2016,21,Doggett,DEMOCRAT,628.6914426957977
2016,21,Gallego,DEMOCRAT,2207.3741268732365
2016,21,Hardin,REPUBLICAN,0.0
2016,21,Hurd,REPUBLICAN,5224.535525840248
2016,21,Loewe,LIBERTARIAN,2329.9579529150565
2016,21,Narvaiz,REPUBLICAN,336.36040037507706
2016,21,Pipkin,OTHER,2712.2162111827947
2016,21,Smith,LIBERTARIAN,38.33820966239184
2016,21,Smith,REPUBLICAN,42827.88657003303
2016,21,Trimble,OTHER,27.200236603635485
2016,21,Wakely,DEMOCRAT,25846.77353579326
2016,23,Blunt,LIBERTARIAN,6128.345946956061
2016,23,Castro,DEMOCRAT,20573.97655728688
2016,23,Corvalan,LIBERTARIAN,2902.1747073786837
2016,23,Diaz,OTHER,366.57297085957504
2016,23,Gallego,DEMOCRAT,19665.968492592598
2016,23,Hurd,REPUBLICAN,40742.88594627966
2016,23,Loewe,LIBERTARIAN,546.3264077889271
2016,23,Pipkin,OTHER,1626.6671108102694
2016,23,Smith,REPUBLICAN,10794.012385161514
2016,23,Wakely,DEMOCRAT,5909.103050071811
2016,28,Cary,OTHER,1.0748099169905194
2016,28,Corvalan,LIBERTARIAN,56.02223603105043
2016,28,Cuellar,DEMOCRAT,21.78725743770439
2016,28,Gallego,DEMOCRAT,379.7344933064091
2016,28,Hardin,REPUBLICAN,19.248839789726084
2016,28,Hurd,REPUBLICAN,347.5576027529985
2016,35,Blunt,LIBERTARIAN,1052.2827077088734
2016,35,Cary,OTHER,1307.740409831798
2016,35,Castro,DEMOCRAT,14205.63265564091
2016,35,Corvalan,LIBERTARIAN,1627.1315210756254
2016,35,Cuellar,DEMOCRAT,19769.11076798926
2016,35,Diaz,OTHER,518.5012286420581
2016,35,Doggett,DEMOCRAT,21661.04190926376
2016,35,Gallego,DEMOCRAT,13014.101375185324
2016,35,Hardin,REPUBLICAN,20141.943803442166
2016,35,Hurd,REPUBLICAN,7062.702254131874
2016,35,Loewe,LIBERTARIAN,711.4124443542286
2016,35,Narvaiz,REPUBLICAN,15768.929836802985
2016,35,Pipkin,OTHER,432.00198996731865
2016,35,Smith,LIBERTARIAN,1049.965373876112
2016,35,Smith,REPUBLICAN,11834.54428421896
2016,35,Trimble,OTHER,657.7389016163645
2016,35,Wakely,DEMOCRAT,7088.2188207709605
2018,20,BLUNT,LIBERTARIAN,13938.811124201702
2018,20,CASTRO,DEMOCRAT,72398.84551152283
2018,20,CORVALAN,LIBERTARIAN,468.5372218639174
2018,20,CUELLAR,DEMOCRAT,8770.594415231171
2018,20,DOGGETT,DEMOCRAT,30587.555717936793
2018,20,HURD,REPUBLICAN,5161.876312255669
2018,20,KOPSER,DEMOCRAT,3040.7568230795423
2018,20,ORTIZ JONES,DEMOCRAT,10693.549436096955
2018,20,PATTERSON,LIBERTARIAN,880.5764428488365
2018,20,ROY,REPUBLICAN,1494.1658326130014
2018,20,SANTOS,LIBERTARIAN,97.0249690885913
2018,20,SMALLING,REPUBLICAN,7242.308097813222
2018,20,THOMAS,LIBERTARIAN,1683.998587165407
2018,21,BLUNT,LIBERTARIAN,10413.029884843214
2018,21,CASTRO,DEMOCRAT,34008.906741942556
2018,21,CORVALAN,LIBERTARIAN,98.92400080885291
2018,21,CUELLAR,DEMOCRAT,0.0
2018,21,DOGGETT,DEMOCRAT,666.1577922038003
2018,21,HURD,REPUBLICAN,4609.9558059744795
2018,21,KOPSER,DEMOCRAT,32918.786914051496
2018,21,ORTIZ JONES,DEMOCRAT,2488.10546091371
2018,21,PATTERSON,LIBERTARIAN,30.118581881140962
2018,21,ROY,REPUBLICAN,34570.827646438804
2018,21,SANTOS,LIBERTARIAN,1210.645031080647
2018,21,SMALLING,REPUBLICAN,244.31957693282627
2018,21,THOMAS,LIBERTARIAN,0.0
2018,23,BLUNT,LIBERTARIAN,7241.068871228662
2018,23,CASTRO,DEMOCRAT,20719.07906269433
2018,23,CORVALAN,LIBERTARIAN,1093.9217002898804
2018,23,HURD,REPUBLICAN,38671.71946787932
2018,23,KOPSER,DEMOCRAT,7392.110973768685
2018,23,ORTIZ JONES,DEMOCRAT,24605.5006204917
2018,23,ROY,REPUBLICAN,8696.945551719764
2018,23,SANTOS,LIBERTARIAN,295.93006233887354
2018,28,CORVALAN,LIBERTARIAN,17.435972959741225
2018,28,CUELLAR,DEMOCRAT,20.835736658127274
2018,28,HURD,REPUBLICAN,305.29018989502174
2018,28,ORTIZ JONES,DEMOCRAT,348.2486369679962
2018,28,THOMAS,LIBERTARIAN,7.3027965082340005
2018,35,BLUNT,LIBERTARIAN,1311.0901197264154
2018,35,CASTRO,DEMOCRAT,11822.1686838403
2018,35,CORVALAN,LIBERTARIAN,581.1811040776082
2018,35,CUELLAR,DEMOCRAT,21161.569848110696
2018,35,DOGGETT,DEMOCRAT,21556.28648985941
2018,35,HURD,REPUBLICAN,6412.158223995509
2018,35,KOPSER,DEMOCRAT,8848.34528910027
2018,35,ORTIZ JONES,DEMOCRAT,12313.595845529639
2018,35,PATTERSON,LIBERTARIAN,900.3049752700225
2018,35,ROY,REPUBLICAN,9267.060969228422
2018,35,SANTOS,LIBERTARIAN,407.3999374918882
2018,35,SMALLING,REPUBLICAN,12062.372325253953
2018,35,THOMAS,LIBERTARIAN,6909.698616326361
2020,20,BLUNT,LIBERTARIAN,2761.8260926633384
2020,20,CASTRO,DEMOCRAT,91561.07411385425
2020,20,CONGDON,LIBERTARIAN,615.8388564543521
2020,20,CUELLAR,DEMOCRAT,12064.253242924085
