old_precinct_id,new_district_id,fragment_population,precinct_total,weight
291001,20,2087,2087,1.0
291002,20,5245,5245,1.0
291003,20,5118,5118,1.0
291004,20,3787,4846,0.7814692529921585
291004,35,1059,4846,0.21853074700784153
291005,20,2364,3106,0.7611075338055376
291005,35,742,3106,0.23889246619446233
291006,20,5759,6984,0.8245990836197021
291006,35,1225,6984,0.1754009163802978
291007,20,3649,3848,0.9482848232848233
291007,35,199,3848,0.05171517671517672
291008,20,3860,3860,1.0
291009,20,8916,9677,0.9213599255967758
291009,23,761,9677,0.07864007440322414
291010,20,1123,1123,1.0
291011,35,2212,2212,1.0
291012,20,5998,6014,0.9973395410708347
291012,23,16,6014,0.002660458929165281
291013,20,6030,7388,0.8161884136437466
291013,23,750,7388,0.10151597184623715
291013,35,608,7388,0.08229561451001624
291014,20,1162,4759,0.2441689430552637
291014,35,3597,4759,0.7558310569447363
291015,20,400,4525,0.08839779005524862
291015,35,4125,4525,0.9116022099447514
291016,35,4016,4016,1.0
291017,20,551,3940,0.1398477157360406
291017,35,3389,3940,0.8601522842639594
291018,35,6666,6666,1.0
291019,20,136,3841,0.035407445977609996
291019,35,3705,3841,0.96459255402239
291020,35,5615,5615,1.0
291021,35,5444,5444,1.0
291022,35,2708,2708,1.0
291023,35,6326,6326,1.0
291024,20,10955,10955,1.0
291025,35,2806,2806,1.0
291026,20,761,5966,0.12755615152531008
291026,23,277,5966,0.04642976868923902
291026,35,4928,5966,0.8260140797854509
291027,20,1721,3018,0.5702451954937044
291027,23,1297,3018,0.42975480450629555
291028,20,516,3577,0.14425496225887616
291028,35,3061,3577,0.8557450377411239
291029,20,5337,6637,0.8041283712520717
291029,23,1300,6637,0.1958716287479283
291030,20,2636,5663,0.46547766201659896
291030,23,2854,5663,0.5039731591029489
291030,35,173,5663,0.030549178880452058
291031,20,4385,6149,0.7131240852171085
291031,23,1764,6149,0.28687591478289154
291032,20,6630,6630,1.0
291032,23,0,6630,0.0
291033,20,16,13854,0.0011549011115923199
291033,23,9127,13854,0.6587989028439439
291033,35,4711,13854,0.3400461960444637
291034,20,3728,34093,0.10934795999178717
291034,23,30365,34093,0.8906520400082129
291035,20,0,17589,0.0
