year,new_district_id,candidate,party,estimated_votes
2016,10,Diaz,OTHER,0.37900874635568516
2016,10,Loewe,LIBERTARIAN,2.274052478134111
2016,10,Smith,REPUBLICAN,29.183673469387756
2016,10,Wakely,DEMOCRAT,7.201166180758018
2016,11,Diaz,OTHER,1.2791007312015714
2016,11,Loewe,LIBERTARIAN,4.122732729455418
2016,11,Smith,REPUBLICAN,67.8394194041253
2016,11,Wakely,DEMOCRAT,17.199170577321837
2016,21,Diaz,OTHER,99.34189052244275
2016,21,Loewe,LIBERTARIAN,218.60321479241045
2016,21,Smith,REPUBLICAN,4152.976907126487
2016,21,Wakely,DEMOCRAT,1093.59966324192
2018,10,KOPSER,DEMOCRAT,10.612244897959185
2018,10,ROY,REPUBLICAN,25.393586005830905
2018,10,SANTOS,LIBERTARIAN,0.5685131195335278
2018,11,KOPSER,DEMOCRAT,24.23834988540871
2018,11,ROY,REPUBLICAN,69.91365273382081
2018,11,SANTOS,LIBERTARIAN,1.2608970861071702
2018,21,KOPSER,DEMOCRAT,1476.1494052166322
2018,21,ROY,REPUBLICAN,4060.6927612603486
2018,21,SANTOS,LIBERTARIAN,94.1705897943593
2020,10,DAVIS,DEMOCRAT,13.26530612244898
2020,10,DIBIANCA,LIBERTARIAN,0.18950437317784258
2020,10,ROY,REPUBLICAN,31.45772594752187
2020,10,WAKELY,OTHER,0.18950437317784258
2020,11,DAVIS,DEMOCRAT,29.640183346065697
2020,11,DIBIANCA,LIBERTARIAN,0.7711011677398232
2020,11,ROY,REPUBLICAN,91.56322165229729
2020,11,WAKELY,OTHER,0.6395503656007857
2020,21,DAVIS,DEMOCRAT,1786.0945105314854
2020,21,DIBIANCA,LIBERTARIAN,100.03939445908233
2020,21,ROY,REPUBLICAN,5243.979052400181
2020,21,WAKELY,OTHER,73.17094526122138
2022,10,ROY,REPUBLICAN,58.103837471783294
2022,10,ZAPATA,DEMOCRAT,16.176636568848757
2022,11,ROY,REPUBLICAN,92.07223476297968
2022,11,ZAPATA,DEMOCRAT,25.633747178329568
2022,21,ROY,REPUBLICAN,5021.823927765237
2022,21,ZAPATA,DEMOCRAT,1514.1896162528217
2024,10,HOOK,DEMOCRAT,21.0186230248307
2024,10,KING,LIBERTARIAN,1.3205417607223477
2024,10,ROY,REPUBLICAN,72.62979683972912
2024,11,HOOK,DEMOCRAT,33.306433408577874
2024,11,KING,LIBERTARIAN,2.09255079006772
2024,11,ROY,REPUBLICAN,115.0902934537246
2024,21,HOOK,DEMOCRAT,1834.6749435665915
2024,21,KING,LIBERTARIAN,145.58690744920995
2024,21,ROY,REPUBLICAN,6172.279909706546
