year,new_district_id,candidate,party,estimated_votes
2016,17,Schneiderman,LIBERTARIAN,166.7915803726401
2016,17,Thomas,DEMOCRAT,1268.700180550937
2016,17,Williams,REPUBLICAN,6064.098057320017
2016,25,Schneiderman,LIBERTARIAN,1.10925818183229
2016,25,Thomas,DEMOCRAT,9.79693687987524
2016,25,Williams,REPUBLICAN,42.379353486786265
2016,31,Schneiderman,LIBERTARIAN,2.0991614455276224
2016,31,Thomas,DEMOCRAT,16.50288256918789
2016,31,Williams,REPUBLICAN,92.52258919319698
2018,17,LINDSEY,LIBERTARIAN,99.09957651100372
2018,17,OLIVER,DEMOCRAT,1269.0399900573739
2018,17,WILLIAMS,REPUBLICAN,5541.328320020162
2018,25,LINDSEY,LIBERTARIAN,0.49070492014447664
2018,25,OLIVER,DEMOCRAT,9.089812807641003
2018,25,WILLIAMS,REPUBLICAN,38.476574654023615
2018,31,LINDSEY,LIBERTARIAN,1.4097185688518021
2018,31,OLIVER,DEMOCRAT,15.870197134985316
2018,31,WILLIAMS,REPUBLICAN,84.19510532581398
2020,17,KELSEY,LIBERTARIAN,127.18530267833421
2020,17,OLIVER,DEMOCRAT,1447.9390118211757
2020,17,WILLIAMS,REPUBLICAN,7251.422281139379
2020,25,KELSEY,LIBERTARIAN,0.9552468905911335
2020,25,OLIVER,DEMOCRAT,10.126634534195697
2020,25,WILLIAMS,REPUBLICAN,53.06030608754401
2020,31,KELSEY,LIBERTARIAN,1.8594504310746407
2020,31,OLIVER,DEMOCRAT,18.93435364462866
2020,31,WILLIAMS,REPUBLICAN,106.51741277307683
2022,17,CARTER,REPUBLICAN,6039.37421891114
2022,25,CARTER,REPUBLICAN,44.69623839255348
2022,31,CARTER,REPUBLICAN,92.92954269630663
2024,17,CARTER,REPUBLICAN,7797.312291461607
2024,17,WHITLOW,DEMOCRAT,1350.877826914241
2024,25,CARTER,REPUBLICAN,58.8992257636953
2024,25,WHITLOW,DEMOCRAT,9.343890419058816
2024,31,CARTER,REPUBLICAN,118.78848277469798
2024,31,WHITLOW,DEMOCRAT,14.778282666700084
