old_precinct_id,new_district_id,fragment_population,precinct_total,weight
350001,17,1067,1205,0.8854771784232365
350001,25,45,1205,0.03734439834024896
350001,31,93,1205,0.07717842323651453
350002,17,2064,2130,0.9690140845070423
350002,25,66,2130,0.030985915492957747
350003,17,2112,2112,1.0
350004,17,1714,1714,1.0
350005,17,2568,2621,0.9797787104158718
350005,25,53,2621,0.020221289584128194
350006,17,1761,1761,1.0
350007,17,1062,1189,0.8931875525651808
350007,31,127,1189,0.10681244743481917
350008,17,4177,4197,0.9952346914462712
350008,31,20,4197,0.004765308553728854
350009,17,3075,3075,1.0
350010,17,2574,2625,0.9805714285714285
350010,31,51,2625,0.019428571428571427
350011,17,1740,1740,1.0
