year,new_district_id,candidate,party,estimated_votes
2016,14,Cole,DEMOCRAT,2694.7042300451208
2016,14,Gibson,DEMOCRAT,10535.194999222213
2016,14,Olson,REPUBLICAN,21653.557866875508
2016,14,Weber,REPUBLICAN,2262.206121245292
2016,18,Cole,DEMOCRAT,0.9527280299875053
2016,18,Gibson,DEMOCRAT,1022.4994634455898
2016,18,Olson,REPUBLICAN,861.4278409694994
2016,18,Weber,REPUBLICAN,0.41357767596834655
2016,22,Cole,DEMOCRAT,11909.14980131437
2016,22,Gibson,DEMOCRAT,931.9638740201312
2016,22,Olson,REPUBLICAN,2936.709229906537
2016,22,Weber,REPUBLICAN,35417.86810810976
2016,27,Cole,DEMOCRAT,73.19324061052136
2016,27,Weber,REPUBLICAN,236.5121929689763
2016,36,Gibson,DEMOCRAT,13688.341663312067
2016,36,Olson,REPUBLICAN,14727.305062248455
2018,14,BELL,DEMOCRAT,2945.356022455391
2018,14,CONLEY,LIBERTARIAN,71.60046813184098
2018,14,KULKARNI,DEMOCRAT,11858.336573409219
2018,14,MCELLIGOTT,LIBERTARIAN,383.48002285371143
2018,14,OLSON,REPUBLICAN,18733.52716194924
2018,14,SWENY,OTHER,375.13754594618024
2018,14,WEBER,REPUBLICAN,1915.6651523287692
2018,18,BELL,DEMOCRAT,1.0114535610162434
2018,18,CONLEY,LIBERTARIAN,0.023740108288213248
2018,18,KULKARNI,DEMOCRAT,1059.905657686434
2018,18,MCELLIGOTT,LIBERTARIAN,15.355497333324722
2018,18,OLSON,REPUBLICAN,662.4616516958325
2018,18,SWENY,OTHER,22.73172231610045
2018,18,WEBER,REPUBLICAN,0.2967513536026656
2018,22,BELL,DEMOCRAT,10842.805712780026
2018,22,CONLEY,LIBERTARIAN,629.2719399983579
2018,22,KULKARNI,DEMOCRAT,904.1426532907387
2018,22,MCELLIGOTT,LIBERTARIAN,48.17771416979194
2018,22,OLSON,REPUBLICAN,2464.9416355771373
2018,22,SWENY,OTHER,50.38733364733494
2018,22,WEBER,REPUBLICAN,31027.01914887297
