old_precinct_id,new_district_id,fragment_population,precinct_total,weight
390001,22,12326,12326,1.0
390002,22,7796,8171,0.9541059845796108
390002,27,375,8171,0.04589401542038918
390003,14,6489,17271,0.3757165190203231
390003,22,10782,17271,0.6242834809796769
390004,22,6767,6767,1.0
390005,22,4454,4454,1.0
390006,22,4716,4716,1.0
390007,22,6239,6239,1.0
390008,22,3829,3829,1.0
390009,14,285,6897,0.04132231404958678
390009,22,6612,6897,0.9586776859504132
390010,14,0,2443,0.0
390010,22,2238,2443,0.9160867785509619
390010,27,205,2443,0.08391322144903807
390011,14,8615,11041,0.7802735259487366
390011,22,2426,11041,0.21972647405126347
390012,14,21,9452,0.0022217520101565805
390012,18,353,9452,0.03734659331358443
390012,36,9078,9452,0.960431654676259
390013,14,8073,14104,0.5723908111174135
390013,36,6031,14104,0.4276091888825865
390014,22,9932,10273,0.96680619098608
390014,27,341,10273,0.03319380901391999
390015,14,0,5158,0.0
390015,22,5158,5158,1.0
390016,14,8417,16403,0.5131378406389075
390016,22,7986,16403,0.4868621593610925
390017,14,0,5986,0.0
390017,22,5986,5986,1.0
390017,27,0,5986,0.0
390018,14,8820,8820,1.0
390019,22,7397,7397,1.0
390020,22,3767,3767,1.0
390021,14,15458,16253,0.9510859533624562
390021,18,0,16253,0.0
390021,22,795,16253,0.04891404663754384
390022,22,8931,8931,1.0
390023,22,8843,8843,1.0
390024,22,12515,12515,1.0
390025,22,7112,7112,1.0
390026,18,1048,13309,0.07874370726576001
390026,36,12261,13309,0.92125629273424
390027,18,726,4040,0.1797029702970297
390027,36,3314,4040,0.8202970297029702
390028,14,3174,11307,0.28071106394269035
390028,36,8133,11307,0.7192889360573096
390029,18,726,9470,0.07666314677930307
390029,36,8744,9470,0.9233368532206969
390030,22,7626,7626,1.0
390031,22,4977,4977,1.0
390032,22,4872,4872,1.0
390033,22,5859,6162,0.950827653359299
390033,27,303,6162,0.049172346640701074
390034,14,12061,13555,0.8897823681298414
390034,22,1494,13555,0.11021763187015861
390035,14,27,5241,0.005151688609044075
390035,22,5214,5241,0.994848311390956
390036,14,4521,4521,1.0
390037,14,9849,11856,0.8307186234817814
390037,36,2007,11856,0.16928137651821862
390038,14,1,1079,0.0009267840593141798
390038,22,1078,1079,0.9990732159406858
390039,14,16352,18459,0.8858551384148654
390039,22,2107,18459,0.11414486158513462
390040,14,11050,11378,0.9711724380383195
390040,22,328,11378,0.028827561961680435
390041,14,2402,11355,0.21153676794363716
390041,36,8953,11355,0.7884632320563628
390042,22,3583,3583,1.0
390043,22,8755,8755,1.0
390044,14,5848,17139,0.3412101056070949
390044,36,11291,17139,0.658789894392905
390045,22,7417,7417,1.0
390046,14,10088,13115,0.7691955775829203
390046,36,3027,13115,0.23080442241707969
390047,14,2739,9044,0.30285272003538255
390047,36,6305,9044,0.6971472799646175
390048,22,7551,7551,1.0
390049,22,2557,2557,1.0
390050,18,3188,16162,0.19725281524563792
390050,36,12974,16162,0.8027471847543621
390051,14,7757,8196,0.9464372864812104
390051,36,439,8196,0.053562713518789655
390052,14,5182,5182,1.0
390053,14,4905,4905,1.0
390054,18,1122,8423,0.1332066959515612
390054,36,7301,8423,0.8667933040484388
390055,22,9971,9971,1.0
390056,22,9279,9279,1.0
390057,14,3383,10667,0.3171463391769007
390057,22,7284,10667,0.6828536608230993
390058,14,8576,11614,0.7384191493025659
390058,36,3038,11614,0.26158085069743414
390059,14,747,14621,0.05109089665549552
390059,18,404,14621,0.027631488954243895
390059,36,13470,14621,0.9212776143902606
390060,14,11832,19653,0.6020454892382843
390060,36,7821,19653,0.3979545107617158
390061,14,1975,1975,1.0
390062,14,2549,13743,0.18547624245070218
390062,36,11194,13743,0.8145237575492978
390063,14,9603,9609,0.9993755853886981
390063,18,6,9609,0.0006244146113019045
390064,14,608,608,1.0
390066,14,2326,11803,0.1970685418961281
390066,18,687,11803,0.05820554096416165
390066,36,8790,11803,0.7447259171397103
390067,14,1546,13082,0.11817764867757223
390067,18,739,13082,0.056489833358813635
390067,36,10797,13082,0.8253325179636142
390068,14,14787,17511,0.8444406373136886
390068,18,225,17511,0.012849066301182113
390068,36,2499,17511,0.14271029638512936
