year,new_district_id,candidate,party,estimated_votes
2016,10,Flores,REPUBLICAN,42726.22290577939
2016,10,Matta,DEMOCRAT,19319.815829995972
2016,10,Patterson,LIBERTARIAN,3019.2720288228143
2016,17,Flores,REPUBLICAN,333.6596853137305
2016,17,Matta,DEMOCRAT,65.98652554322351
2016,17,Patterson,LIBERTARIAN,12.688221453225747
2016,27,Flores,REPUBLICAN,1.1174089068825912
2016,27,Matta,DEMOCRAT,0.19764446080235556
2016,27,Patterson,LIBERTARIAN,0.03974972396025028
2018,10,CHURCHMAN,LIBERTARIAN,1553.2627423805463
2018,10,FLORES,REPUBLICAN,37758.97358858123
2018,10,KENNEDY,DEMOCRAT,24298.20188968503
2018,17,CHURCHMAN,LIBERTARIAN,6.72069523447013
2018,17,FLORES,REPUBLICAN,314.9045858758794
2018,17,KENNEDY,DEMOCRAT,68.56402860720081
2018,27,CHURCHMAN,LIBERTARIAN,0.016562384983437616
2018,27,FLORES,REPUBLICAN,1.1218255428781745
2018,27,KENNEDY,DEMOCRAT,0.2340817077659183
2020,10,BROWN,LIBERTARIAN,3245.519869255636
2020,10,KENNEDY,DEMOCRAT,31684.872476635013
2020,10,SESSIONS,REPUBLICAN,46931.85743769079
2020,17,BROWN,LIBERTARIAN,10.437068543407413
2020,17,KENNEDY,DEMOCRAT,92.82498379929062
2020,17,SESSIONS,REPUBLICAN,402.7325512676136
2020,27,BROWN,LIBERTARIAN,0.0430622009569378
2020,27,KENNEDY,DEMOCRAT,0.30253956569746043
2020,27,SESSIONS,REPUBLICAN,1.4100110415899891
2022,10,KELSEY,LIBERTARIAN,1703.5230580701636
2022,10,MCCAUL,REPUBLICAN,35044.98085094429
2022,10,NUNO,DEMOCRAT,20306.433235739896
2022,17,KELSEY,LIBERTARIAN,8.44492131886814
2022,17,MCCAUL,REPUBLICAN,326.81451158792265
2022,17,NUNO,DEMOCRAT,56.33268255233925
2022,27,KELSEY,LIBERTARIAN,0.03202061096797939
2022,27,MCCAUL,REPUBLICAN,1.2046374677953626
2022,27,NUNO,DEMOCRAT,0.2340817077659183
2024,10,BOISSEAU,DEMOCRAT,30319.74030915616
2024,10,MCCAUL,REPUBLICAN,56730.03437567461
2024,10,MILLER,LIBERTARIAN,2717.1209189084057
2024,17,BOISSEAU,DEMOCRAT,92.90967244118835
2024,17,MCCAUL,REPUBLICAN,458.3171149400388
2024,17,MILLER,LIBERTARIAN,10.83270641364088
2024,27,BOISSEAU,DEMOCRAT,0.35001840264998163
2024,27,MCCAUL,REPUBLICAN,1.6485093853514907
2024,27,MILLER,LIBERTARIAN,0.04637467795362533
