year,new_district_id,candidate,party,estimated_votes
2016,23,Corvalan,LIBERTARIAN,126.0
2016,23,Gallego,DEMOCRAT,2244.0
2016,23,Hurd,REPUBLICAN,1916.0
2018,23,CORVALAN,LIBERTARIAN,92.0
2018,23,HURD,REPUBLICAN,1940.0
2018,23,ORTIZ JONES,DEMOCRAT,2041.0
2020,23,GONZALES,REPUBLICAN,2382.0
2020,23,ORTIZ JONES,DEMOCRAT,2249.0
2020,23,VILLELA,LIBERTARIAN,138.0
2022,23,GONZALES,REPUBLICAN,1943.0
2022,23,LIRA,DEMOCRAT,1506.0
2022,23,LOPEZ,OTHER,265.0
2024,23,GONZALES,REPUBLICAN,2584.0
2024,23,LIMON,DEMOCRAT,1790.0
