year,new_district_id,candidate,party,estimated_votes
2016,13,DeWeese,LIBERTARIAN,28.31451383944215
2016,13,Thornberry,REPUBLICAN,616.9842905062213
2016,13,Tomlinson,OTHER,15.589701033473055
2016,19,DeWeese,LIBERTARIAN,0.6854861605578506
2016,19,Thornberry,REPUBLICAN,15.015709493778708
2016,19,Tomlinson,OTHER,0.41029896652694325
2018,13,DEWEESE,LIBERTARIAN,6.8278685850893694
2018,13,SAGAN,DEMOCRAT,55.7352435797456
2018,13,THORNBERRY,REPUBLICAN,544.7044527367535
2018,19,DEWEESE,LIBERTARIAN,0.17213141491063141
2018,19,SAGAN,DEMOCRAT,1.2647564202544008
2018,19,THORNBERRY,REPUBLICAN,13.295547263246533
2020,13,JACKSON,REPUBLICAN,621.7163009456029
2020,13,TRUJILLO,DEMOCRAT,75.27152561682618
2020,13,WESTBROOK,LIBERTARIAN,9.652319853945919
2020,19,JACKSON,REPUBLICAN,15.283699054397044
2020,19,TRUJILLO,DEMOCRAT,1.7284743831738199
2020,19,WESTBROOK,LIBERTARIAN,0.34768014605408193
2022,13,BROWN,DEMOCRAT,52.52092769327268
2022,13,JACKSON,REPUBLICAN,518.1876536035032
2022,19,BROWN,DEMOCRAT,1.479072306727323
2022,19,JACKSON,REPUBLICAN,12.812346396496725
2024,13,JACKSON,REPUBLICAN,634.2702023198071
2024,19,JACKSON,REPUBLICAN,15.729797680192844
