year,new_district_id,candidate,party,estimated_votes
2016,11,Conaway,REPUBLICAN,11934.609490689581
2016,11,Landholt,LIBERTARIAN,869.7554112709744
2016,25,Conaway,REPUBLICAN,110.39229935695036
2016,25,Landholt,LIBERTARIAN,7.210568810465924
2016,31,Conaway,REPUBLICAN,38.998209953466805
2016,31,Landholt,LIBERTARIAN,3.03401991855965
2018,11,CONAWAY,REPUBLICAN,10417.843651983376
2018,11,LEEDER,DEMOCRAT,1435.2293099316828
2018,11,SMITH,LIBERTARIAN,169.23808000778848
2018,25,CONAWAY,REPUBLICAN,102.02595072316872
2018,25,LEEDER,DEMOCRAT,10.072355542974423
2018,25,SMITH,LIBERTARIAN,1.176674338026454
2018,31,CONAWAY,REPUBLICAN,35.130397293455204
2018,31,LEEDER,DEMOCRAT,2.6983345253428066
2018,31,SMITH,LIBERTARIAN,0.5852456541850827
2020,11,CODY,LIBERTARIAN,248.3848597175825
2020,11,HOGG,DEMOCRAT,1894.8241710108728
2020,11,PFLUGER,REPUBLICAN,13292.365293274237
2020,25,CODY,LIBERTARIAN,2.111429159999435
2020,25,HOGG,DEMOCRAT,11.806872012098891
2020,25,PFLUGER,REPUBLICAN,131.31099680705753
2020,31,CODY,LIBERTARIAN,0.5037111224180859
2020,31,HOGG,DEMOCRAT,4.368956977028231
2020,31,PFLUGER,REPUBLICAN,46.32370991870478
2022,11,PFLUGER,REPUBLICAN,11005.765726733627
2022,25,PFLUGER,REPUBLICAN,113.90411605085116
2022,31,PFLUGER,REPUBLICAN,38.330157215521766
2024,11,PFLUGER,REPUBLICAN,14856.040143828817
2024,25,PFLUGER,REPUBLICAN,141.49722948435382
2024,31,PFLUGER,REPUBLICAN,47.462626686829225
