year,new_district_id,candidate,party,estimated_votes
2016,10,Flores,REPUBLICAN,5216.84503209306
2016,10,Matta,DEMOCRAT,1342.5344094173126
2016,10,Patterson,LIBERTARIAN,131.40934946233818
2016,17,Flores,REPUBLICAN,163.4423659579081
2016,17,Matta,DEMOCRAT,34.3221288597917
2016,17,Patterson,LIBERTARIAN,5.461854311659172
2016,27,Flores,REPUBLICAN,4.7126019490321305
2016,27,Matta,DEMOCRAT,2.143461722895564
2016,27,Patterson,LIBERTARIAN,0.12879622600265267
2018,10,CHURCHMAN,LIBERTARIAN,67.7779610754031
2018,10,FLORES,REPUBLICAN,4979.976154342599
2018,10,KENNEDY,DEMOCRAT,1313.6808501311634
2018,17,CHURCHMAN,LIBERTARIAN,2.176634372916637
2018,17,FLORES,REPUBLICAN,162.79711337312207
2018,17,KENNEDY,DEMOCRAT,35.40235642744679
2018,27,CHURCHMAN,LIBERTARIAN,0.04540455168026972
2018,27,FLORES,REPUBLICAN,4.226732284278654
2018,27,KENNEDY,DEMOCRAT,1.916793441389707
2020,10,BROWN,LIBERTARIAN,145.29727064589403
2020,10,KENNEDY,DEMOCRAT,1663.5256099558264
2020,10,SESSIONS,REPUBLICAN,6386.12936286098
2020,17,BROWN,LIBERTARIAN,5.544750131281367
2020,17,KENNEDY,DEMOCRAT,37.94636912565694
2020,17,SESSIONS,REPUBLICAN,192.99476309433516
2020,27,BROWN,LIBERTARIAN,0.1579792228246055
2020,27,KENNEDY,DEMOCRAT,2.5280209185167237
2020,27,SESSIONS,REPUBLICAN,5.875874044684052
2022,10,KELSEY,LIBERTARIAN,95.38442053783069
2022,10,MCCAUL,REPUBLICAN,5298.444799513053
2022,10,NUNO,DEMOCRAT,1057.253711364641
2022,17,KELSEY,LIBERTARIAN,3.5184205965087147
2022,17,MCCAUL,REPUBLICAN,165.65614400783895
2022,17,NUNO,DEMOCRAT,28.19505118448882
2022,27,KELSEY,LIBERTARIAN,0.09715886566059677
2022,27,MCCAUL,REPUBLICAN,4.899056479107752
2022,27,NUNO,DEMOCRAT,1.5512374508700857
2024,10,BOISSEAU,DEMOCRAT,1488.3563976200091
2024,10,MCCAUL,REPUBLICAN,7279.404671716011
2024,10,MILLER,LIBERTARIAN,166.74602628435844
2024,17,BOISSEAU,DEMOCRAT,36.529868657519714
2024,17,MCCAUL,REPUBLICAN,213.79309766316806
2024,17,MILLER,LIBERTARIAN,4.099422803646869
2024,27,BOISSEAU,DEMOCRAT,2.113733722471202
2024,27,MCCAUL,REPUBLICAN,6.80223062082089
2024,27,MILLER,LIBERTARIAN,0.15455091199468396
