old_precinct_id,new_district_id,fragment_population,precinct_total,weight
510113,10,1448,1448,1.0
510114,10,4837,4837,1.0
510203,10,1186,1241,0.9556809024979855
510203,17,55,1241,0.0443190975020145
510204,10,2534,2589,0.9787562765546544
510204,17,55,2589,0.021243723445345693
510207,10,1152,1152,1.0
510211,10,2709,2709,1.0
510215,10,1105,1105,1.0
510301,10,3545,3545,1.0
510305,10,1301,1482,0.8778677462887989
510305,17,181,1482,0.12213225371120108
510308,10,759,955,0.7947643979057591
510308,17,196,955,0.20523560209424083
510309,10,1780,2137,0.8329433785680861
510309,17,357,2137,0.1670566214319139
510406,10,2455,2471,0.9935248887090247
510406,27,16,2471,0.006475111290975314
510410,10,3690,3699,0.9975669099756691
510410,27,9,3699,0.0024330900243309003
