year,new_district_id,candidate,party,estimated_votes
2016,10,Schneiderman,LIBERTARIAN,6.477612102589299
2016,10,Thomas,DEMOCRAT,45.18130928816945
2016,10,Williams,REPUBLICAN,134.53192394200005
2016,11,Schneiderman,LIBERTARIAN,92.36264617600295
2016,11,Thomas,DEMOCRAT,567.3987544504557
2016,11,Williams,REPUBLICAN,2135.4639094660397
2016,21,Schneiderman,LIBERTARIAN,8.972877658488795
2016,21,Thomas,DEMOCRAT,60.711922602767686
2016,21,Williams,REPUBLICAN,214.03709384822633
2016,31,Schneiderman,LIBERTARIAN,474.1868640629189
2016,31,Thomas,DEMOCRAT,3023.7080136586073
2016,31,Williams,REPUBLICAN,12287.967072743735
2018,10,LINDSEY,LIBERTARIAN,3.229389010935905
2018,10,OLIVER,DEMOCRAT,52.232728378381104
2018,10,WILLIAMS,REPUBLICAN,143.68457878341837
2018,11,LINDSEY,LIBERTARIAN,45.04896755582969
2018,11,OLIVER,DEMOCRAT,670.4593461138073
2018,11,WILLIAMS,REPUBLICAN,2114.7859928047155
2018,21,LINDSEY,LIBERTARIAN,4.512257011062578
2018,21,OLIVER,DEMOCRAT,70.44544915703963
2018,21,WILLIAMS,REPUBLICAN,215.0495600277585
2018,31,LINDSEY,LIBERTARIAN,204.2093864221718
2018,31,OLIVER,DEMOCRAT,3344.8624763507723
2018,31,WILLIAMS,REPUBLICAN,11513.479868384107
2020,10,KELSEY,LIBERTARIAN,4.699062262771812
2020,10,OLIVER,DEMOCRAT,63.89531735468295
2020,10,WILLIAMS,REPUBLICAN,187.83065194585006
2020,11,KELSEY,LIBERTARIAN,64.79996465722488
2020,11,OLIVER,DEMOCRAT,858.8314633818754
2020,11,WILLIAMS,REPUBLICAN,2722.103438039652
2020,21,KELSEY,LIBERTARIAN,6.477898206928498
2020,21,OLIVER,DEMOCRAT,89.5872507137178
2020,21,WILLIAMS,REPUBLICAN,276.5893518973525
2020,31,KELSEY,LIBERTARIAN,414.0230748730748
2020,31,OLIVER,DEMOCRAT,4170.685968549724
2020,31,WILLIAMS,REPUBLICAN,15389.476558117145
2022,10,CARTER,REPUBLICAN,183.33561971805463
2022,11,CARTER,REPUBLICAN,2414.535001632682
2022,21,CARTER,REPUBLICAN,253.66683713894548
2022,31,CARTER,REPUBLICAN,13733.462541510316
2024,10,CARTER,REPUBLICAN,232.59635818863885
2024,10,WHITLOW,DEMOCRAT,71.16206926408671
2024,11,CARTER,REPUBLICAN,3188.267821611883
2024,11,WHITLOW,DEMOCRAT,945.0386259389734
2024,21,CARTER,REPUBLICAN,329.3994260308881
2024,21,WHITLOW,DEMOCRAT,99.92189459765044
2024,31,CARTER,REPUBLICAN,18296.73639416859
2024,31,WHITLOW,DEMOCRAT,4429.877410199289
