old_precinct_id,new_district_id,fragment_population,precinct_total,weight
530001,11,0,3628,0.0
530001,31,3628,3628,1.0
530002,31,7429,7429,1.0
530003,11,0,4469,0.0
530003,31,4469,4469,1.0
530004,10,590,4454,0.13246519982038618
530004,11,3362,4454,0.75482712168837
530004,21,502,4454,0.11270767849124383
530004,31,0,4454,0.0
530005,11,0,1597,0.0
530005,31,1597,1597,1.0
530006,10,7,1115,0.006278026905829596
530006,11,884,1115,0.7928251121076233
530006,31,224,1115,0.20089686098654708
530007,11,0,1076,0.0
530007,31,1076,1076,1.0
530008,11,2,2365,0.0008456659619450317
530008,31,2363,2365,0.999154334038055
530009,11,2,4432,0.0004512635379061372
530009,31,4430,4432,0.9995487364620939
530010,11,172,3102,0.05544809800128949
530010,31,2930,3102,0.9445519019987105
530011,11,0,843,0.0
530011,31,843,843,1.0
530012,11,61,3773,0.016167505963424332
530012,31,3712,3773,0.9838324940365757
530013,31,3061,3061,1.0
530014,31,1327,1327,1.0
530015,31,1414,1414,1.0
530016,31,1081,1081,1.0
530017,31,4927,4927,1.0
530018,11,0,3824,0.0
530018,31,3824,3824,1.0
530019,11,3799,6867,0.5532255715741954
530019,21,355,6867,0.05169651958642784
530019,31,2713,6867,0.3950779088393767
530020,11,92,7829,0.011751181504662154
530020,31,7737,7829,0.9882488184953379
