old_precinct_id,new_district_id,fragment_population,precinct_total,weight
550100,27,1942,1942,1.0
550101,27,3138,3138,1.0
550102,27,2674,2674,1.0
550103,27,4711,4711,1.0
550104,27,2418,2418,1.0
550105,27,394,394,1.0
550107,27,95,95,1.0
550108,27,2179,2179,1.0
550109,27,630,630,1.0
550110,27,3059,3059,1.0
550111,27,2970,2970,1.0
550112,27,18,18,1.0
550113,27,68,68,1.0
550114,27,23,23,1.0
550115,27,38,38,1.0
550116,27,23,23,1.0
550117,27,23,23,1.0
550118,27,438,438,1.0
550201,27,2277,2343,0.971830985915493
550201,35,66,2343,0.028169014084507043
550202,15,63,2375,0.026526315789473683
550202,27,2272,2375,0.9566315789473684
550202,35,40,2375,0.016842105263157894
550203,15,134,2994,0.0447561790247161
550203,27,2860,2994,0.9552438209752839
550204,27,3347,3347,1.0
550205,15,82,975,0.0841025641025641
550205,27,893,975,0.9158974358974359
550206,27,3163,3316,0.9538600723763571
550206,35,153,3316,0.04613992762364294
550301,21,238,4687,0.05077874973330489
550301,27,3998,4687,0.8529976530829955
550301,35,451,4687,0.09622359718369959
550302,27,4532,4599,0.9854316155686018
550302,35,67,4599,0.01456838443139813
550303,27,2245,2245,1.0
550305,27,1512,1622,0.9321824907521579
550305,35,110,1622,0.06781750924784218
550306,27,1849,1849,1.0
550307,27,109,109,1.0
550400,27,1427,1427,1.0
550401,27,2374,2374,1.0
550402,27,6006,6006,1.0
550404,27,7990,7990,1.0
550405,27,4949,4949,1.0
550407,27,143,143,1.0
550408,27,148,148,1.0
550409,27,853,853,1.0
550410,27,118,118,1.0
550411,27,465,465,1.0
550412,27,1214,1214,1.0
