old_precinct_id,new_district_id,fragment_population,precinct_total,weight
570001,27,2574,2574,1.0
570002,27,2961,2961,1.0
570003,27,295,295,1.0
570004,27,1651,1651,1.0
570005,27,1173,1173,1.0
570006,27,1100,1100,1.0
570007,27,2182,2182,1.0
570008,27,2455,2455,1.0
570009,27,646,646,1.0
570010,27,885,885,1.0
570011,27,1662,1662,1.0
570012,27,2932,2932,1.0
570013,27,224,224,1.0
570014,27,801,801,1.0
570015,27,970,970,1.0
570016,27,2801,2801,1.0
570017,27,2127,2127,1.0
570018,27,752,752,1.0
570019,27,666,666,1.0
570020,27,953,953,1.0
570021,27,733,733,1.0
570022,27,1208,1208,1.0
570023,27,597,597,1.0
570024,27,2173,2173,1.0
570025,27,1578,1578,1.0
