old_precinct_id,new_district_id,fragment_population,precinct_total,weight
590001,19,2609,6933,0.37631616904658877
590001,25,4324,6933,0.6236838309534112
590002,19,52,3750,0.013866666666666666
590002,25,3698,3750,0.9861333333333333
590003,19,831,5430,0.15303867403314916
590003,25,4599,5430,0.8469613259668508
590004,11,80,2088,0.038314176245210725
590004,25,2008,2088,0.9616858237547893
590005,19,6,216,0.027777777777777776
590005,25,210,216,0.9722222222222222
590006,25,3047,3047,1.0
590007,11,27,1098,0.02459016393442623
590007,19,141,1098,0.1284153005464481
590007,25,930,1098,0.8469945355191257
