old_precinct_id,new_district_id,fragment_population,precinct_total,weight
610001,34,2598,2598,1.0
610002,34,1552,1552,1.0
610003,34,6729,6729,1.0
610004,34,7713,7713,1.0
610005,34,2038,2038,1.0
610006,34,3845,3845,1.0
610007,34,1922,1922,1.0
610008,34,2554,2554,1.0
610009,34,7073,7073,1.0
610010,34,6376,6376,1.0
610011,34,4666,4666,1.0
610012,34,5986,5986,1.0
610013,34,2425,2425,1.0
610014,34,9144,9144,1.0
610015,34,6285,6285,1.0
610016,34,3738,3738,1.0
610017,34,14344,14344,1.0
610018,34,7461,7461,1.0
610019,34,4554,4554,1.0
610020,34,3340,3340,1.0
610021,34,7221,7221,1.0
610022,34,6377,6377,1.0
610023,34,1229,1229,1.0
610024,15,112,3127,0.03581707707067477
610024,34,3015,3127,0.9641829229293253
610025,34,2484,2484,1.0
610026,15,115,7156,0.01607043040804919
610026,34,7041,7156,0.9839295695919508
610027,15,14,5139,0.0027242654212881884
610027,34,5125,5139,0.9972757345787118
610028,34,4680,4680,1.0
610029,34,7241,7241,1.0
610030,34,4684,4684,1.0
610031,34,1204,1204,1.0
610032,34,5994,5994,1.0
610033,34,2507,2507,1.0
610034,34,2075,2075,1.0
610035,34,4588,4588,1.0
610036,34,4548,4548,1.0
610037,34,6702,6702,1.0
610038,34,1372,1372,1.0
610039,34,3193,3193,1.0
610040,34,6092,6092,1.0
610041,34,9968,9968,1.0
610042,34,4547,4547,1.0
610043,34,4711,4711,1.0
610044,34,6365,6365,1.0
610045,34,6137,6137,1.0
610046,34,15359,15359,1.0
610047,34,4189,4189,1.0
610048,34,10637,10637,1.0
610049,34,3822,3822,1.0
610050,34,8817,8817,1.0
610051,34,6295,6295,1.0
610052,34,2706,2706,1.0
610053,34,13717,13717,1.0
610054,34,10896,10896,1.0
610055,34,6280,6280,1.0
610056,34,7730,7730,1.0
610057,34,2304,2304,1.0
610058,15,36,7905,0.004554079696394687
610058,34,7869,7905,0.9954459203036053
610059,34,4015,4015,1.0
610060,34,5621,5621,1.0
610061,34,5894,5894,1.0
610062,34,9242,9242,1.0
610063,34,4907,4907,1.0
610064,34,7725,7725,1.0
610065,34,11377,11377,1.0
610066,34,11167,11167,1.0
610067,34,5055,5055,1.0
610068,34,8186,8186,1.0
610069,34,12010,12010,1.0
610070,34,4167,4167,1.0
610071,34,11800,11800,1.0
610072,34,10340,10340,1.0
610073,34,9742,9742,1.0
610074,34,13185,13185,1.0
610075,34,8410,8410,1.0
610076,34,6921,6921,1.0
610077,34,9112,9112,1.0
610078,34,8143,8143,1.0
610079,34,10263,10263,1.0
610080,34,10921,10921,1.0
610081,34,3380,3380,1.0
610082,34,8858,8858,1.0
610083,34,2120,2120,1.0
610084,34,5215,5215,1.0
610085,34,3910,3910,1.0
610086,34,10684,10684,1.0
610087,34,7387,7387,1.0
610088,34,7332,7332,1.0
610095,34,2864,2864,1.0
610096,34,5307,5307,1.0
610097,34,1482,1482,1.0
610098,34,12790,12790,1.0
610099,34,2494,2494,1.0
610100,34,8988,8988,1.0
610101,34,4344,4344,1.0
610102,34,6173,6173,1.0
610103,34,4644,4644,1.0
610104,34,1403,1403,1.0
610105,34,837,837,1.0
610106,34,10433,10433,1.0
610107,34,2961,2961,1.0
610108,34,11,11,1.0
610109,34,220,220,1.0
