year,new_district_id,candidate,party,estimated_votes
2016,3,Ratcliffe,REPUBLICAN,154.41214758532433
2016,3,Wommack,LIBERTARIAN,21.142460170990503
2016,32,Ratcliffe,REPUBLICAN,3175.5878524146756
2016,32,Wommack,LIBERTARIAN,558.8575398290095
2018,3,ASHBY,LIBERTARIAN,0.9167757998296862
2018,3,KRANTZ,DEMOCRAT,36.71348494449242
2018,3,RATCLIFFE,REPUBLICAN,132.90119840528234
2018,32,ASHBY,LIBERTARIAN,26.083224200170314
2018,32,KRANTZ,DEMOCRAT,1036.2865150555076
2018,32,RATCLIFFE,REPUBLICAN,2645.0988015947178
2020,3,ANTONELLI,LIBERTARIAN,2.800501372450244
2020,3,FALLON,REPUBLICAN,169.24001679466124
2020,3,FOSTER,DEMOCRAT,45.02104992886118
2020,32,ANTONELLI,LIBERTARIAN,66.19949862754976
2020,32,FALLON,REPUBLICAN,3405.759983205339
2020,32,FOSTER,DEMOCRAT,1269.9789500711388
2022,3,JEFFERSON,DEMOCRAT,29.185907861228756
2022,3,MORAN,REPUBLICAN,146.5356092289212
2022,32,JEFFERSON,DEMOCRAT,816.8140921387712
2022,32,MORAN,REPUBLICAN,2945.464390771079
2024,3,MORAN,REPUBLICAN,194.0638730759398
2024,32,MORAN,REPUBLICAN,4053.93612692406
