year,new_district_id,candidate,party,estimated_votes
2016,13,Arrington,REPUBLICAN,19.587111468338108
2016,13,Bonar,LIBERTARIAN,0.6096759645960539
2016,13,Lawson,OTHER,0.6876871016707965
2016,19,Arrington,REPUBLICAN,1445.4128885316618
2016,19,Bonar,LIBERTARIAN,129.39032403540395
2016,19,Lawson,OTHER,62.3123128983292
2018,13,ARRINGTON,REPUBLICAN,17.02234031746889
2018,13,LEVARIO,DEMOCRAT,2.4114101172976317
2018,19,ARRINGTON,REPUBLICAN,1197.977659682531
2018,19,LEVARIO,DEMOCRAT,378.58858988270237
2020,13,ARRINGTON,REPUBLICAN,23.64702715906324
2020,13,BURNES,LIBERTARIAN,0.8162574499208163
2020,13,WATSON,DEMOCRAT,2.3744130082798613
2020,19,ARRINGTON,REPUBLICAN,1564.352972840937
2020,19,BURNES,LIBERTARIAN,24.183742550079184
2020,19,WATSON,DEMOCRAT,396.6255869917201
2022,13,ARRINGTON,REPUBLICAN,18.01362465945145
2022,13,LEWIS,OTHER,0.8303891595159966
2022,19,ARRINGTON,REPUBLICAN,1225.9863753405486
2022,19,LEWIS,OTHER,170.169610840484
2024,13,ARRINGTON,REPUBLICAN,21.35004076391578
2024,13,JOHNSON,LIBERTARIAN,3.1928830732369042
2024,13,LEWIS,OTHER,0.4711654177055804
2024,19,ARRINGTON,REPUBLICAN,1512.6499592360842
2024,19,JOHNSON,LIBERTARIAN,324.8071169267631
2024,19,LEWIS,OTHER,44.52883458229442
