year,new_district_id,candidate,party,estimated_votes
2016,9,Babin,REPUBLICAN,1092.4568406255382
2016,9,Ridley,OTHER,101.34877733804817
2016,14,Babin,REPUBLICAN,271.8483129781341
2016,14,Ridley,OTHER,24.09679876799015
2016,36,Babin,REPUBLICAN,12391.694846396327
2016,36,Ridley,OTHER,1014.5544238939617
2018,9,BABIN,REPUBLICAN,1017.0305203277229
2018,9,STEELE,DEMOCRAT,282.94804262754457
2018,14,BABIN,REPUBLICAN,229.9270629477773
2018,14,BELL,DEMOCRAT,0.0
2018,14,CONLEY,LIBERTARIAN,0.0
2018,14,STEELE,DEMOCRAT,67.82665177040738
2018,14,WEBER,REPUBLICAN,0.0
2018,36,BABIN,REPUBLICAN,11087.042416724498
2018,36,BELL,DEMOCRAT,0.0
2018,36,CONLEY,LIBERTARIAN,0.0
2018,36,STEELE,DEMOCRAT,2436.225305602048
2018,36,WEBER,REPUBLICAN,0.0
2020,9,ABBEY,LIBERTARIAN,32.3282839958101
2020,9,BABIN,REPUBLICAN,1439.3690280750698
2020,9,LEWIS,DEMOCRAT,353.7144256137597
2020,9,RIDLEY,OTHER,10.067796444010376
2020,14,ABBEY,LIBERTARIAN,4.238030372164657
2020,14,BABIN,REPUBLICAN,302.0386229581029
2020,14,BELL,DEMOCRAT,0.0
2020,14,LEWIS,DEMOCRAT,79.07922255037005
2020,14,RIDLEY,OTHER,1.5105811184240088
2020,14,WEBER,REPUBLICAN,0.0
2020,36,ABBEY,LIBERTARIAN,325.43368563202523
2020,36,BABIN,REPUBLICAN,15563.592348966828
2020,36,BELL,DEMOCRAT,0.0
2020,36,LEWIS,DEMOCRAT,3023.20635183587
2020,36,RIDLEY,OTHER,87.42162243756562
2020,36,WEBER,REPUBLICAN,0.0
2022,9,BABIN,REPUBLICAN,1002.2307033065638
2022,9,HAIRE,DEMOCRAT,209.57638944850322
2022,14,BABIN,REPUBLICAN,226.8286014603268
2022,14,HAIRE,DEMOCRAT,54.2698823116824
2022,36,BABIN,REPUBLICAN,12001.940695233108
2022,36,HAIRE,DEMOCRAT,2154.1537282398144
2024,9,BABIN,REPUBLICAN,1518.8532573005605
2024,9,STEELE,DEMOCRAT,357.5934280967796
2024,14,BABIN,REPUBLICAN,316.0837277678113
2024,14,HART,DEMOCRAT,0.0
2024,14,STEELE,DEMOCRAT,74.41135154728329
2024,14,WEBER,REPUBLICAN,0.0
2024,36,BABIN,REPUBLICAN,18792.063014931628
2024,36,HART,DEMOCRAT,0.0
2024,36,STEELE,DEMOCRAT,3571.9952203559374
2024,36,WEBER,REPUBLICAN,0.0
