old_precinct_id,new_district_id,fragment_population,precinct_total,weight
710001,9,450,1581,0.2846299810246679
710001,36,1131,1581,0.715370018975332
710002,9,535,1763,0.3034600113442995
710002,36,1228,1763,0.6965399886557005
710003,14,190,1410,0.1347517730496454
710003,36,1220,1410,0.8652482269503546
710004,9,1357,8829,0.15369804054819344
710004,36,7472,8829,0.8463019594518065
710005,14,0,5510,0.0
710005,36,5510,5510,1.0
710006,9,75,4285,0.01750291715285881
710006,36,4210,4285,0.9824970828471412
710007,9,150,5650,0.02654867256637168
710007,14,646,5650,0.11433628318584071
710007,36,4854,5650,0.8591150442477876
710008,36,12478,12478,1.0
710009,36,937,937,1.0
710010,9,1847,17566,0.10514630536263236
710010,36,15719,17566,0.8948536946373676
710011,9,1696,8495,0.1996468510888758
710011,36,6799,8495,0.8003531489111242
710012,14,788,4259,0.18501995773655788
710012,36,3471,4259,0.8149800422634421
710013,14,0,0,
710013,36,0,0,
710014,36,1577,1577,1.0
710015,9,1691,8826,0.1915930206208928
710015,36,7135,8826,0.8084069793791072
