year,new_district_id,candidate,party,estimated_votes
2016,1,Ashby,LIBERTARIAN,1655.0467773187845
2016,1,Hensarling,REPUBLICAN,12890.243821805543
2016,5,Ashby,LIBERTARIAN,5.396742826414652
2016,5,Hensarling,REPUBLICAN,48.4813549424491
2016,10,Ashby,LIBERTARIAN,6.320578003746321
2016,10,Hensarling,REPUBLICAN,54.94077245562394
2016,36,Ashby,LIBERTARIAN,4.23590185105467
2016,36,Hensarling,REPUBLICAN,32.334050796383984
2018,1,GOODEN,REPUBLICAN,11472.666048341507
2018,1,WOOD,DEMOCRAT,3151.51753275862
2018,5,GOODEN,REPUBLICAN,43.72052850654219
2018,5,WOOD,DEMOCRAT,8.368999490375103
2018,10,GOODEN,REPUBLICAN,50.66809383641067
2018,10,WOOD,DEMOCRAT,12.9008117027919
2018,36,GOODEN,REPUBLICAN,28.945329315540246
2018,36,WOOD,DEMOCRAT,6.212656048213517
2020,1,GOODEN,REPUBLICAN,14750.449541800024
2020,1,HALE,LIBERTARIAN,296.0999808644195
2020,1,SALTER,DEMOCRAT,3938.6575123953776
2020,5,GOODEN,REPUBLICAN,56.2903836613831
2020,5,HALE,LIBERTARIAN,0.9556554865246575
2020,5,SALTER,DEMOCRAT,10.150572055840776
2020,10,GOODEN,REPUBLICAN,66.67763803407368
2020,10,HALE,LIBERTARIAN,1.1677816430291679
2020,10,SALTER,DEMOCRAT,15.284898760146286
2020,36,GOODEN,REPUBLICAN,41.58243650452001
2020,36,HALE,LIBERTARIAN,0.7765820060266896
2020,36,SALTER,DEMOCRAT,7.907016788635385
2022,1,ELLZEY,REPUBLICAN,12015.116138572323
2022,5,ELLZEY,REPUBLICAN,47.23862945442161
2022,10,ELLZEY,REPUBLICAN,50.42913210239943
2022,36,ELLZEY,REPUBLICAN,30.21609987085665
2024,1,ELLZEY,REPUBLICAN,16343.374478941902
2024,1,LOVE,DEMOCRAT,3494.149333174077
2024,5,ELLZEY,REPUBLICAN,62.30767329212255
2024,5,LOVE,DEMOCRAT,9.327543185709663
2024,10,ELLZEY,REPUBLICAN,66.74703416287575
2024,10,LOVE,DEMOCRAT,15.180893765052183
2024,36,ELLZEY,REPUBLICAN,42.57081360309944
2024,36,LOVE,DEMOCRAT,7.342229875161428
