old_precinct_id,new_district_id,fragment_population,precinct_total,weight
730012,1,4783,4783,1.0
730013,1,4132,4172,0.9904122722914669
730013,5,40,4172,0.009587727708533078
730014,1,4471,4471,1.0
730015,1,8466,8466,1.0
730022,1,1912,1912,1.0
730023,1,2318,2361,0.9817873782295637
730023,5,43,2361,0.018212621770436255
730024,1,6314,6314,1.0
730025,1,1998,2323,0.8600947051226862
730025,10,161,2323,0.06930693069306931
730025,36,164,2323,0.0705983641842445
730026,1,2313,2313,1.0
730027,1,2218,2331,0.9515229515229515
730027,5,8,2331,0.003432003432003432
730027,10,105,2331,0.04504504504504504
730028,1,3378,3455,0.9777134587554269
730028,5,77,3455,0.022286541244573084
730032,1,2582,2582,1.0
730032,5,0,2582,0.0
730033,1,3653,3697,0.9880984582093589
730033,5,44,3697,0.011901541790641061
730034,1,3467,3467,1.0
730035,1,2983,2983,1.0
730036,1,3352,3392,0.9882075471698113
730036,5,40,3392,0.01179245283018868
730037,1,2226,2265,0.9827814569536424
730037,5,39,2265,0.017218543046357615
730038,1,2851,2851,1.0
730042,1,3166,3166,1.0
730043,1,5096,5096,1.0
730044,1,3973,3973,1.0
730045,1,2135,2135,1.0
730046,1,2174,2174,1.0
730047,1,612,612,1.0
730048,1,1196,1196,1.0
