old_precinct_id,new_district_id,fragment_population,precinct_total,weight
770001,13,2106,2106,1.0
770006,13,747,747,1.0
770008,13,1713,1713,1.0
770009,13,1440,1440,1.0
770010,13,434,459,0.9455337690631809
770010,25,25,459,0.054466230936819175
770011,13,1375,1375,1.0
770012,13,1043,1043,1.0
770013,13,265,265,1.0
770014,13,407,407,1.0
770015,13,1420,1420,1.0
770017,13,1419,1419,1.0
770020,13,797,826,0.9648910411622276
770020,25,29,826,0.035108958837772396
770024,13,605,605,1.0
770026,13,335,354,0.9463276836158192
770026,25,19,354,0.05367231638418079
770027,13,882,882,1.0
770032,13,397,417,0.9520383693045563
770032,25,20,417,0.047961630695443645
