year,new_district_id,candidate,party,estimated_votes
2016,11,Conaway,REPUBLICAN,1226.5107290751662
2016,11,Landholt,LIBERTARIAN,70.85330656293137
2016,19,Conaway,REPUBLICAN,45.489270924833725
2016,19,Landholt,LIBERTARIAN,3.146693437068641
2018,11,CONAWAY,REPUBLICAN,1137.8764378633873
2018,11,LEEDER,DEMOCRAT,105.68548960555486
2018,11,SMITH,LIBERTARIAN,18.268164136027107
2018,19,CONAWAY,REPUBLICAN,46.123562136612705
2018,19,LEEDER,DEMOCRAT,3.3145103944451413
2018,19,SMITH,LIBERTARIAN,0.731835863972895
2020,11,CODY,LIBERTARIAN,44.30455443956864
2020,11,HOGG,DEMOCRAT,152.67996188443828
2020,11,PFLUGER,REPUBLICAN,1473.735960305541
2020,19,CODY,LIBERTARIAN,1.6954455604313594
2020,19,HOGG,DEMOCRAT,5.320038115561696
2020,19,PFLUGER,REPUBLICAN,60.26403969445875
2022,11,PFLUGER,REPUBLICAN,1242.251932734854
2022,19,PFLUGER,REPUBLICAN,53.74806726514588
2024,11,PFLUGER,REPUBLICAN,1608.3733079993995
2024,19,PFLUGER,REPUBLICAN,64.62669200060053
