year,new_district_id,candidate,party,estimated_votes
2016,11,Conaway,REPUBLICAN,3121.5431007035654
2016,11,Landholt,LIBERTARIAN,209.6341292993827
2016,19,Conaway,REPUBLICAN,1.8501920614596672
2016,19,Landholt,LIBERTARIAN,0.11096884336320957
2016,25,Conaway,REPUBLICAN,27.60670723497499
2016,25,Landholt,LIBERTARIAN,1.254901857254115
2018,11,CONAWAY,REPUBLICAN,2737.1818440540146
2018,11,LEEDER,DEMOCRAT,323.4157383916118
2018,11,SMITH,LIBERTARIAN,29.754144611499047
2018,19,CONAWAY,REPUBLICAN,1.619718309859155
2018,19,LEEDER,DEMOCRAT,0.1749893299189074
2018,19,SMITH,LIBERTARIAN,0.02134016218523261
2018,25,CONAWAY,REPUBLICAN,24.198437636126037
2018,25,LEEDER,DEMOCRAT,2.4092722784693166
2018,25,SMITH,LIBERTARIAN,0.22451522631572002
2020,11,CODY,LIBERTARIAN,42.78073212428229
2020,11,HOGG,DEMOCRAT,396.60586720660024
2020,11,PFLUGER,REPUBLICAN,3577.3580593432034
2020,19,CODY,LIBERTARIAN,0.01708671507902606
2020,19,HOGG,DEMOCRAT,0.2349423323366083
2020,19,PFLUGER,REPUBLICAN,2.093122597180692
2020,25,CODY,LIBERTARIAN,0.20218116063868596
2020,25,HOGG,DEMOCRAT,3.159190461063143
2020,25,PFLUGER,REPUBLICAN,31.548818059616053
2022,11,PFLUGER,REPUBLICAN,2882.686364521431
2022,19,PFLUGER,REPUBLICAN,1.6744980777445537
2022,25,PFLUGER,REPUBLICAN,25.639137400824318
2024,11,PFLUGER,REPUBLICAN,3517.3154733103347
2024,19,PFLUGER,REPUBLICAN,1.9607005553182402
2024,25,PFLUGER,REPUBLICAN,30.723826134346865
