year,new_district_id,candidate,party,estimated_votes
2016,3,Bell,DEMOCRAT,52452.32413814399
2016,3,Blair,OTHER,1491.2483566054145
2016,3,Jameson,LIBERTARIAN,5317.310683574779
2016,3,Johnson,REPUBLICAN,100455.27178358508
2016,3,Rankin,LIBERTARIAN,2450.735165260545
2016,3,Ratcliffe,REPUBLICAN,9830.74387895859
2016,3,Sessions,REPUBLICAN,12197.763069747894
2016,3,Stuard,OTHER,936.2983293821632
2016,3,Wommack,LIBERTARIAN,1518.3846414704558
2016,4,Bell,DEMOCRAT,51100.88810760415
2016,4,Blair,OTHER,1282.5872108001429
2016,4,Jameson,LIBERTARIAN,4635.127357867587
2016,4,Johnson,REPUBLICAN,84608.02126549273
2016,4,Ratcliffe,REPUBLICAN,4075.2544242692766
2016,4,Wommack,LIBERTARIAN,441.8598083164897
2016,26,Bell,DEMOCRAT,327.4449782849551
2016,26,Blair,OTHER,8.23783103594141
2016,26,Jameson,LIBERTARIAN,22.8611390549862
2016,26,Johnson,REPUBLICAN,643.1648143722796
2016,26,Ratcliffe,REPUBLICAN,23.985778387824038
2016,26,Wommack,LIBERTARIAN,2.4973330310370754
2016,32,Bell,DEMOCRAT,5539.342775966897
2016,32,Blair,OTHER,132.92660155850106
2016,32,Jameson,LIBERTARIAN,472.7008195026468
2016,32,Johnson,REPUBLICAN,7977.542136549893
2016,32,Rankin,LIBERTARIAN,147.26483473945535
2016,32,Ratcliffe,REPUBLICAN,108.01591838430879
2016,32,Sessions,REPUBLICAN,811.2369302521056
2016,32,Stuard,OTHER,62.701670617836875
2016,32,Wommack,LIBERTARIAN,17.25821718201725
2018,3,ALLRED,DEMOCRAT,7973.669844360625
2018,3,ASHBY,LIBERTARIAN,210.41538141651208
2018,3,BAKER,LIBERTARIAN,442.32515123948923
2018,3,BURCH,DEMOCRAT,66718.25934305944
2018,3,CLAYTOR,LIBERTARIAN,2429.15539483424
2018,3,KRANTZ,DEMOCRAT,2970.621563888547
2018,3,RATCLIFFE,REPUBLICAN,9231.823758346543
2018,3,SESSIONS,REPUBLICAN,10299.093083869247
2018,3,TAYLOR,REPUBLICAN,89422.58649232399
2018,4,ASHBY,LIBERTARIAN,102.6514405602767
2018,4,BURCH,DEMOCRAT,63597.42159550547
2018,4,CLAYTOR,LIBERTARIAN,1924.8065240256742
2018,4,KRANTZ,DEMOCRAT,1175.8795641789447
2018,4,RATCLIFFE,REPUBLICAN,4459.535343769722
2018,4,TAYLOR,REPUBLICAN,72500.97106850137
2018,26,ASHBY,LIBERTARIAN,0.5745218652130036
2018,26,BURCH,DEMOCRAT,417.7346845709753
2018,26,CLAYTOR,LIBERTARIAN,10.958917704409751
2018,26,KRANTZ,DEMOCRAT,11.620675846636857
2018,26,RATCLIFFE,REPUBLICAN,31.83855437716592
2018,26,TAYLOR,REPUBLICAN,543.2479579047473
2018,32,ALLRED,DEMOCRAT,517.3301556393753
2018,32,ASHBY,LIBERTARIAN,2.3586561579982406
2018,32,BAKER,LIBERTARIAN,29.67484876051077
2018,32,BURCH,DEMOCRAT,7500.584376864121
2018,32,CLAYTOR,LIBERTARIAN,239.0791634356753
2018,32,KRANTZ,DEMOCRAT,34.878196085872005
2018,32,RATCLIFFE,REPUBLICAN,102.8023435065694
2018,32,SESSIONS,REPUBLICAN,713.9069161307525
2018,32,TAYLOR,REPUBLICAN,7053.1944812699185
2020,3,ALLRED,DEMOCRAT,10832.718346665111
2020,3,ANTONELLI,LIBERTARIAN,464.65336079323214
2020,3,CLAYTOR,LIBERTARIAN,4706.085442126828
2020,3,COLLINS,REPUBLICAN,14512.490660390218
2020,3,FALLON,REPUBLICAN,13583.789821750739
2020,3,FOSTER,DEMOCRAT,4386.726126442161
2020,3,MOWREY PETERSON,LIBERTARIAN,432.2429833878699
2020,3,SEIKALY,DEMOCRAT,88526.97038800069
2020,3,SIGMON,OTHER,142.8766097851464
2020,3,TAYLOR,REPUBLICAN,124090.9977113725
2020,4,ANTONELLI,LIBERTARIAN,199.75603800566975
2020,4,CLAYTOR,LIBERTARIAN,3496.5065466793885
2020,4,FALLON,REPUBLICAN,7795.050803051556
2020,4,FOSTER,DEMOCRAT,2347.2237437283516
2020,4,SEIKALY,DEMOCRAT,80658.84502096185
2020,4,TAYLOR,REPUBLICAN,96638.54348923675
2020,26,ANTONELLI,LIBERTARIAN,1.556513224261584
2020,26,CLAYTOR,LIBERTARIAN,17.449272464117843
2020,26,FALLON,REPUBLICAN,62.807964562736565
2020,26,FOSTER,DEMOCRAT,23.62770959713162
2020,26,SEIKALY,DEMOCRAT,476.0964865121183
2020,26,TAYLOR,REPUBLICAN,590.4588640926212
2020,32,ALLRED,DEMOCRAT,666.2816533348891
2020,32,ANTONELLI,LIBERTARIAN,5.03408797683657
2020,32,CLAYTOR,LIBERTARIAN,400.95873872966723
2020,32,COLLINS,REPUBLICAN,925.509339609781
2020,32,FALLON,REPUBLICAN,140.3514106349706
2020,32,FOSTER,DEMOCRAT,50.422420232355265
2020,32,MOWREY PETERSON,LIBERTARIAN,22.757016612130087
2020,32,SEIKALY,DEMOCRAT,9796.088104525354
2020,32,SIGMON,OTHER,9.1233902148536
2020,32,TAYLOR,REPUBLICAN,9191.999935298127
2022,3,ALLRED,DEMOCRAT,4056.9538964485246
2022,3,CLAYTOR,LIBERTARIAN,4727.284682861054
2022,3,FALLON,REPUBLICAN,7242.869203658343
2022,3,OMERE,DEMOCRAT,7765.857593663739
2022,3,SELF,REPUBLICAN,105637.46598225838
2022,3,SIMMONS,LIBERTARIAN,400.99653735980735
2022,3,SRIVASTAVA,DEMOCRAT,66239.39053157571
2022,3,SWAD,REPUBLICAN,2731.040860747361
2022,4,ALLRED,DEMOCRAT,300.9311593276967
2022,4,CLAYTOR,LIBERTARIAN,1632.4086302160576
2022,4,FALLON,REPUBLICAN,39692.473644354075
2022,4,OMERE,DEMOCRAT,34833.16507294942
2022,4,SELF,REPUBLICAN,36967.078282315306
2022,4,SIMMONS,LIBERTARIAN,1889.0510033368048
2022,4,SRIVASTAVA,DEMOCRAT,27842.72587882653
2022,4,SWAD,REPUBLICAN,243.31713178136565
2022,26,FALLON,REPUBLICAN,521.5565149149837
2022,26,OMERE,DEMOCRAT,374.1365369306722
2022,26,SIMMONS,LIBERTARIAN,21.518808013140422
2022,32,ALLRED,DEMOCRAT,7094.114944223778
2022,32,CLAYTOR,LIBERTARIAN,40.306686922889064
2022,32,FALLON,REPUBLICAN,944.1006370725981
2022,32,OMERE,DEMOCRAT,771.8407964561726
2022,32,SELF,REPUBLICAN,1018.4557354263181
2022,32,SIMMONS,LIBERTARIAN,35.433651290247255
2022,32,SRIVASTAVA,DEMOCRAT,642.8835895977531
2022,32,SWAD,REPUBLICAN,5248.642007471274
2024,3,CARDELL,DEMOCRAT,10543.661510820126
2024,3,DAY,REPUBLICAN,4159.485564872482
2024,3,FALLON,REPUBLICAN,10483.850843064602
2024,3,HALE,LIBERTARIAN,340.44149744838455
2024,3,JOHNSON,DEMOCRAT,5466.603771010587
2024,3,SELF,REPUBLICAN,154656.97649210718
2024,3,SRIVASTAVA,DEMOCRAT,96865.49962928296
2024,4,CARDELL,DEMOCRAT,47312.50488395833
2024,4,DAY,REPUBLICAN,310.38557480087644
2024,4,FALLON,REPUBLICAN,55860.53548076788
2024,4,HALE,LIBERTARIAN,23.085259806906084
2024,4,JOHNSON,DEMOCRAT,364.19641523166297
2024,4,SELF,REPUBLICAN,50244.91967620788
2024,4,SRIVASTAVA,DEMOCRAT,36438.77854627275
2024,26,CARDELL,DEMOCRAT,507.5989014340063
2024,26,FALLON,REPUBLICAN,707.678582646954
2024,32,CARDELL,DEMOCRAT,927.2347037875275
2024,32,DAY,REPUBLICAN,6783.128860326641
2024,32,FALLON,REPUBLICAN,1227.935093520569
2024,32,HALE,LIBERTARIAN,437.4732427447094
2024,32,JOHNSON,DEMOCRAT,8516.199813757752
2024,32,SELF,REPUBLICAN,1435.1038316849233
2024,32,SRIVASTAVA,DEMOCRAT,927.7218244443326
