old_precinct_id,new_district_id,fragment_population,precinct_total,weight
850001,3,6526,6526,1.0
850002,3,10992,10992,1.0
850003,3,7876,7876,1.0
850004,3,6277,6277,1.0
850005,3,5112,5112,1.0
850006,3,13687,13687,1.0
850007,3,4786,4786,1.0
850008,3,7698,7698,1.0
850009,3,16664,16664,1.0
850010,3,1533,1533,1.0
850011,3,8571,8571,1.0
850012,3,5223,5223,1.0
850013,3,996,12086,0.08240939930498097
850013,4,11090,12086,0.9175906006950191
850014,4,10457,10457,1.0
850015,4,4994,4994,1.0
850016,3,7250,7250,1.0
850017,3,8975,9032,0.9936891054030115
850017,4,57,9032,0.006310894596988486
850018,3,1657,1739,0.9528464634847613
850018,4,82,1739,0.047153536515238646
850019,4,3588,3588,1.0
850020,3,2305,2571,0.8965383119408791
850020,4,266,2571,0.10346168805912097
850021,3,327,8247,0.03965078210258276
850021,4,7920,8247,0.9603492178974172
850022,3,755,8343,0.09049502577010668
850022,4,7588,8343,0.9095049742298933
850023,3,11553,11966,0.9654855423700485
850023,4,0,11966,0.0
850023,32,413,11966,0.03451445762995153
850024,4,4845,5290,0.9158790170132325
850024,26,445,5290,0.08412098298676748
850025,3,10024,10024,1.0
850026,3,0,5960,0.0
850026,4,4285,5960,0.7189597315436241
850026,32,1675,5960,0.28104026845637586
850027,3,6473,6473,1.0
850028,4,4773,4773,1.0
850029,4,5799,6019,0.9634490779199203
850029,26,220,6019,0.03655092208007975
850030,4,11900,11900,1.0
850031,4,3833,3833,1.0
850032,4,5317,5317,1.0
850033,3,8169,8523,0.9584653291094685
850033,32,354,8523,0.041534670890531505
850034,4,7853,7853,1.0
850035,3,4543,4543,1.0
850036,4,3659,4229,0.8652163632064318
850036,32,570,4229,0.13478363679356822
850037,3,4946,5142,0.9618825359782186
850037,4,196,5142,0.03811746402178141
850038,3,20852,21885,0.9527987205848755
850038,4,1033,21885,0.04720127941512452
850039,3,784,7413,0.10576015108593012
850039,4,6629,7413,0.8942398489140698
850040,3,9496,9496,1.0
850041,3,11334,11334,1.0
850042,3,4015,4252,0.9442615239887112
850042,32,237,4252,0.055738476011288805
850043,3,12141,12141,1.0
850044,3,5022,5022,1.0
850045,3,7833,7833,1.0
850046,3,8522,8522,1.0
850046,4,0,8522,0.0
850047,3,4948,4948,1.0
850048,4,0,7232,0.0
850048,32,7232,7232,1.0
850049,4,4261,4261,1.0
850049,32,0,4261,0.0
850050,3,10784,10784,1.0
850050,4,0,10784,0.0
850051,3,5073,5073,1.0
850051,4,0,5073,0.0
850052,3,12063,13918,0.8667193562293433
850052,32,1855,13918,0.1332806437706567
850053,4,5065,5065,1.0
850054,3,6839,9380,0.7291044776119403
850054,4,2541,9380,0.2708955223880597
850055,4,1021,12506,0.08164081241004317
850055,32,11485,12506,0.9183591875899568
850056,3,13712,14944,0.917558886509636
850056,32,1232,14944,0.08244111349036402
850057,3,8851,8851,1.0
850058,3,8262,8262,1.0
850058,4,0,8262,0.0
850059,3,9171,9171,1.0
850060,3,7482,7482,1.0
850061,3,5168,5168,1.0
850062,3,1034,6643,0.15565256661147073
850062,4,5609,6643,0.8443474333885292
850063,4,5008,5008,1.0
850064,3,0,6593,0.0
850064,4,6593,6593,1.0
