year,new_district_id,candidate,party,estimated_votes
2016,15,Cadien,DEMOCRAT,14.929303181940881
2016,15,Kelsey,LIBERTARIAN,2.1305506285034475
2016,15,McCaul,REPUBLICAN,68.30614915347229
2016,27,Cadien,DEMOCRAT,1761.070696818059
2016,27,Kelsey,LIBERTARIAN,183.86944937149656
2016,27,McCaul,REPUBLICAN,6224.693850846527
2018,15,MCCAUL,REPUBLICAN,63.17069850524577
2018,15,RYAN,LIBERTARIAN,1.3717163034974167
2018,15,SIEGEL,DEMOCRAT,14.089551818271522
2018,27,MCCAUL,REPUBLICAN,5640.829301494754
2018,27,RYAN,LIBERTARIAN,108.62828369650259
2018,27,SIEGEL,DEMOCRAT,1715.9104481817285
2020,15,ERIKSEN,LIBERTARIAN,1.3847040412715097
2020,15,MCCAUL,REPUBLICAN,84.93886124239333
2020,15,SIEGEL,DEMOCRAT,18.20324464334552
2020,27,ERIKSEN,LIBERTARIAN,118.61529595872848
2020,27,MCCAUL,REPUBLICAN,7338.061138757606
2020,27,SIEGEL,DEMOCRAT,2280.7967553566546
2022,15,KELSEY,LIBERTARIAN,0.9951509411646834
2022,15,MCCAUL,REPUBLICAN,70.29231460866464
2022,15,NUNO,DEMOCRAT,10.775886243607431
2022,27,KELSEY,LIBERTARIAN,105.00484905883532
2022,27,MCCAUL,REPUBLICAN,5999.707685391335
2022,27,NUNO,DEMOCRAT,1278.2241137563926
2024,15,BOISSEAU,DEMOCRAT,15.445151098911289
2024,15,MCCAUL,REPUBLICAN,88.99723941181895
2024,15,MILLER,LIBERTARIAN,1.5536907925422567
2024,27,BOISSEAU,DEMOCRAT,1821.554848901089
2024,27,MCCAUL,REPUBLICAN,7655.0027605881805
2024,27,MILLER,LIBERTARIAN,142.44630920745774
