old_precinct_id,new_district_id,fragment_population,precinct_total,weight
890101,27,4757,4757,1.0
890102,15,10,595,0.01680672268907563
890102,27,585,595,0.9831932773109243
890103,15,10,1019,0.009813542688910697
890103,27,1009,1019,0.9901864573110893
890201,15,176,5724,0.030747728860936407
890201,27,5548,5724,0.9692522711390635
890202,15,76,1214,0.06260296540362438
890202,27,1138,1214,0.9373970345963756
890302,27,1853,1853,1.0
890303,27,1283,1283,1.0
890304,27,1134,1134,1.0
890305,27,2955,2955,1.0
890401,27,977,977,1.0
890402,27,4583,4583,1.0
