year,new_district_id,candidate,party,estimated_votes
2016,11,Conaway,REPUBLICAN,36.82184363399742
2016,11,Landholt,LIBERTARIAN,3.3206027483081684
2016,25,Conaway,REPUBLICAN,4307.651251846254
2016,25,Landholt,LIBERTARIAN,375.62279484149866
2016,31,Conaway,REPUBLICAN,32.5269045197487
2016,31,Landholt,LIBERTARIAN,2.0566024101931797
2018,11,CONAWAY,REPUBLICAN,32.859844129922585
2018,11,LEEDER,DEMOCRAT,4.596507252369207
2018,11,SMITH,LIBERTARIAN,0.5251951747523209
2018,25,CONAWAY,REPUBLICAN,3806.715410528212
2018,25,LEEDER,DEMOCRAT,662.1594390433753
2018,25,SMITH,LIBERTARIAN,50.24754728347075
2018,31,CONAWAY,REPUBLICAN,28.42474534186572
2018,31,LEEDER,DEMOCRAT,4.244053704255319
2018,31,SMITH,LIBERTARIAN,0.2272575417769332
2020,11,CODY,LIBERTARIAN,1.123965047390278
2020,11,HOGG,DEMOCRAT,5.328970949144988
2020,11,PFLUGER,REPUBLICAN,43.72295560366322
2020,25,CODY,LIBERTARIAN,97.99734590195003
2020,25,HOGG,DEMOCRAT,794.8962438697928
2020,25,PFLUGER,REPUBLICAN,4928.898181067643
2020,31,CODY,LIBERTARIAN,0.8786890506596984
2020,31,HOGG,DEMOCRAT,4.774785181062242
2020,31,PFLUGER,REPUBLICAN,33.378863328693114
2022,11,WILLIAMS,REPUBLICAN,37.708776680115086
2022,25,WILLIAMS,REPUBLICAN,4111.574827439328
2022,31,WILLIAMS,REPUBLICAN,31.716395880556966
2024,11,HAGG,OTHER,0.286225448562476
2024,11,WILLIAMS,REPUBLICAN,47.85363341812284
2024,25,HAGG,OTHER,11.63107703728542
2024,25,WILLIAMS,REPUBLICAN,5401.350754317793
2024,31,HAGG,OTHER,0.08269751415210436
2024,31,WILLIAMS,REPUBLICAN,42.79561226408451
