old_precinct_id,new_district_id,fragment_population,precinct_total,weight
930001,25,3283,3283,1.0
930002,11,96,4063,0.02362786118631553
930002,25,3911,4063,0.9625892197883338
930002,31,56,4063,0.013782919025350726
930004,25,334,334,1.0
930005,25,1782,1782,1.0
930006,25,800,804,0.9950248756218906
930006,31,4,804,0.004975124378109453
930007,25,861,899,0.9577308120133482
930007,31,38,899,0.042269187986651836
930009,25,391,447,0.8747203579418344
930009,31,56,447,0.12527964205816555
930010,25,1068,1068,1.0
930011,25,1358,1358,1.0
930012,25,3565,3565,1.0
930013,25,510,510,1.0
930014,25,298,298,1.0
930015,11,58,803,0.0722291407222914
930015,25,745,803,0.9277708592777086
930016,25,324,324,1.0
