year,new_district_id,candidate,party,estimated_votes
2016,11,Conaway,REPUBLICAN,904.0
2016,11,Landholt,LIBERTARIAN,62.0
2016,23,Conaway,REPUBLICAN,0.0
2016,23,Landholt,LIBERTARIAN,0.0
2018,11,CONAWAY,REPUBLICAN,832.0
2018,11,LEEDER,DEMOCRAT,132.0
2018,11,SMITH,LIBERTARIAN,10.0
2018,23,CONAWAY,REPUBLICAN,0.0
2018,23,LEEDER,DEMOCRAT,0.0
2018,23,SMITH,LIBERTARIAN,0.0
2020,11,CODY,LIBERTARIAN,22.0
2020,11,HOGG,DEMOCRAT,172.0
2020,11,PFLUGER,REPUBLICAN,1052.0
2020,23,CODY,LIBERTARIAN,0.0
2020,23,HOGG,DEMOCRAT,0.0
2020,23,PFLUGER,REPUBLICAN,0.0
2022,11,PFLUGER,REPUBLICAN,845.0
2022,23,PFLUGER,REPUBLICAN,0.0
2024,11,PFLUGER,REPUBLICAN,1093.0
2024,23,PFLUGER,REPUBLICAN,0.0
