year,new_district_id,candidate,party,estimated_votes
2016,4,DeWeese,LIBERTARIAN,11.537340320797599
2016,4,Thornberry,REPUBLICAN,223.51953104458812
2016,4,Tomlinson,OTHER,6.898778980502083
2016,13,DeWeese,LIBERTARIAN,4.324396378082983
2016,13,Thornberry,REPUBLICAN,79.05155181512424
2016,13,Tomlinson,OTHER,1.5811513872456988
2016,26,DeWeese,LIBERTARIAN,832.1382633011194
2016,26,Thornberry,REPUBLICAN,13074.428917140287
2016,26,Tomlinson,OTHER,445.5200696322522
2018,4,DEWEESE,LIBERTARIAN,2.299938478936271
2018,4,SAGAN,DEMOCRAT,27.664217839637054
2018,4,THORNBERRY,REPUBLICAN,198.38295955946538
2018,13,DEWEESE,LIBERTARIAN,0.817476552079911
2018,13,SAGAN,DEMOCRAT,9.905552873787846
2018,13,THORNBERRY,REPUBLICAN,75.56589471379004
2018,26,DEWEESE,LIBERTARIAN,173.88258496898382
2018,26,SAGAN,DEMOCRAT,2133.430229286575
2018,26,THORNBERRY,REPUBLICAN,11689.051145726744
2020,4,JACKSON,REPUBLICAN,263.8716793954931
2020,4,TRUJILLO,DEMOCRAT,32.953971990716255
2020,4,WESTBROOK,LIBERTARIAN,8.360523685730952
2020,13,JACKSON,REPUBLICAN,93.71766226550263
2020,13,TRUJILLO,DEMOCRAT,11.186901616229276
2020,13,WESTBROOK,LIBERTARIAN,2.339849652146241
2020,26,JACKSON,REPUBLICAN,15060.410658339006
2020,26,TRUJILLO,DEMOCRAT,2773.859126393055
2020,26,WESTBROOK,LIBERTARIAN,448.2996266621228
2022,4,BURGESS,REPUBLICAN,235.9163449501422
2022,4,KOLLS,LIBERTARIAN,22.69388947311259
2022,13,BURGESS,REPUBLICAN,80.23499829018533
2022,13,KOLLS,LIBERTARIAN,7.5967360601956475
2022,26,BURGESS,REPUBLICAN,12833.84865675967
2022,26,KOLLS,LIBERTARIAN,1683.7093744666918
2024,4,GILL,REPUBLICAN,311.74594832267843
2024,4,GRAY,LIBERTARIAN,6.83336152478158
2024,4,LINEBERGER,DEMOCRAT,35.20792755458332
2024,13,GILL,REPUBLICAN,95.75106862981178
2024,13,GRAY,LIBERTARIAN,1.8756798096988239
2024,13,LINEBERGER,DEMOCRAT,12.382354906561392
2024,26,GILL,REPUBLICAN,16198.50298304751
2024,26,GRAY,LIBERTARIAN,363.2909586655196
2024,26,LINEBERGER,DEMOCRAT,2800.409717538855
