old_precinct_id,new_district_id,fragment_population,precinct_total,weight
970001,26,1003,1003,1.0
970002,26,6830,6830,1.0
970003,26,1756,1756,1.0
970004,26,1787,1787,1.0
970006,4,241,4211,0.05723106150558062
970006,26,3970,4211,0.9427689384944193
970007,4,293,4375,0.06697142857142857
970007,26,4082,4375,0.9330285714285714
970008,4,451,3588,0.12569676700111482
970008,26,3137,3588,0.8743032329988851
970010,4,164,4486,0.036558181007579134
970010,26,4322,4486,0.9634418189924209
970011,13,10,5137,0.0019466614755693985
970011,26,5127,5137,0.9980533385244306
970012,13,237,2852,0.08309957924263675
970012,26,2615,2852,0.9169004207573632
970017,13,29,1014,0.028599605522682446
970017,26,985,1014,0.9714003944773175
970018,13,29,2882,0.010062456627342124
970018,26,2853,2882,0.9899375433726578
97001C,26,8585,8585,1.0
970021,26,2216,2216,1.0
970022,26,2916,2916,1.0
970033,26,1344,1344,1.0
97004C,26,6194,6194,1.0
