year,new_district_id,candidate,party,estimated_votes
2016,17,Schneiderman,LIBERTARIAN,1.536716346171263
2016,17,Thomas,DEMOCRAT,8.573620781111952
2016,17,Williams,REPUBLICAN,53.31097385681234
2016,31,Schneiderman,LIBERTARIAN,692.4632836538287
2016,31,Thomas,DEMOCRAT,4933.4263792188885
2016,31,Williams,REPUBLICAN,12352.689026143187
2018,17,LINDSEY,LIBERTARIAN,0.27850581778074224
2018,17,OLIVER,DEMOCRAT,6.296333341990973
2018,17,WILLIAMS,REPUBLICAN,44.784023697250795
2018,31,LINDSEY,LIBERTARIAN,267.72149418221926
2018,31,OLIVER,DEMOCRAT,4852.703666658009
2018,31,WILLIAMS,REPUBLICAN,10660.215976302748
2020,17,KELSEY,LIBERTARIAN,1.1503508792192854
2020,17,OLIVER,DEMOCRAT,9.046791135532231
2020,17,WILLIAMS,REPUBLICAN,70.1214135439705
2020,31,KELSEY,LIBERTARIAN,636.8496491207807
2020,31,OLIVER,DEMOCRAT,7045.953208864468
2020,31,WILLIAMS,REPUBLICAN,15330.878586456029
2022,17,CARTER,REPUBLICAN,62.31092488668832
2022,31,CARTER,REPUBLICAN,12909.689075113312
2024,17,CARTER,REPUBLICAN,77.23748964116012
2024,17,WHITLOW,DEMOCRAT,9.179357482638391
2024,31,CARTER,REPUBLICAN,16943.76251035884
2024,31,WHITLOW,DEMOCRAT,6423.820642517361
