old_precinct_id,new_district_id,fragment_population,precinct_total,weight
990101,31,13573,13573,1.0
990102,31,3206,3206,1.0
990103,31,744,744,1.0
990104,31,10379,10379,1.0
990205,17,92,11916,0.007720711648204095
990205,31,11824,11916,0.9922792883517959
990206,31,9256,9256,1.0
990207,31,9603,9603,1.0
990308,31,8504,8504,1.0
990309,31,1345,1345,1.0
990310,17,98,1562,0.06274007682458387
990310,31,1464,1562,0.9372599231754162
990311,31,11974,11974,1.0
990412,31,9556,9556,1.0
990413,31,14048,14048,1.0
990414,17,93,924,0.10064935064935066
990414,31,831,924,0.8993506493506493
990415,31,519,519,1.0
990416,31,10738,10738,1.0
