year,new_district_id,candidate,party,estimated_votes
2016,11,Corvalan,LIBERTARIAN,0.5346358677506056
2016,11,Gallego,DEMOCRAT,5.150432487174804
2016,11,Hurd,REPUBLICAN,14.464951844411608
2016,23,Corvalan,LIBERTARIAN,37.46536413224939
2016,23,Gallego,DEMOCRAT,307.8495675128252
2016,23,Hurd,REPUBLICAN,985.5350481555884
2018,11,CORVALAN,LIBERTARIAN,0.44991671232270236
2018,11,HURD,REPUBLICAN,10.470971062374446
2018,11,ORTIZ JONES,DEMOCRAT,3.660526621619378
2018,23,CORVALAN,LIBERTARIAN,23.550083287677296
2018,23,HURD,REPUBLICAN,776.5290289376255
2018,23,ORTIZ JONES,DEMOCRAT,230.33947337838063
2020,11,GONZALES,REPUBLICAN,18.372261891391293
2020,11,ORTIZ JONES,DEMOCRAT,4.128531677063563
2020,11,VILLELA,LIBERTARIAN,0.45385072251611885
2020,23,GONZALES,REPUBLICAN,1172.6277381086086
2020,23,ORTIZ JONES,DEMOCRAT,254.87146832293647
2020,23,VILLELA,LIBERTARIAN,30.546149277483885
2022,11,GONZALES,REPUBLICAN,14.571595667286397
2022,11,LIRA,DEMOCRAT,1.783574488723628
2022,11,LOPEZ,OTHER,0.8162476760164903
2022,23,GONZALES,REPUBLICAN,918.4284043327136
2022,23,LIRA,DEMOCRAT,122.21642551127637
2022,23,LOPEZ,OTHER,49.18375232398351
2024,11,GONZALES,REPUBLICAN,17.892401584350498
2024,11,LIMON,DEMOCRAT,2.0964344030393667
2024,23,GONZALES,REPUBLICAN,1114.1075984156496
2024,23,LIMON,DEMOCRAT,170.90356559696065
