year,new_district_id,candidate,party,estimated_votes
2016,11,Corvalan,LIBERTARIAN,0.026470588235294117
2016,11,Gallego,DEMOCRAT,0.7411764705882353
2016,11,Hurd,REPUBLICAN,1.6411764705882352
2016,23,Corvalan,LIBERTARIAN,27.973529411764705
2016,23,Gallego,DEMOCRAT,461.25882352941176
2016,23,Hurd,REPUBLICAN,873.3588235294118
2018,11,CORVALAN,LIBERTARIAN,0.019852941176470587
2018,11,HURD,REPUBLICAN,1.5551470588235294
2018,11,ORTIZ JONES,DEMOCRAT,0.48308823529411765
2018,23,CORVALAN,LIBERTARIAN,21.98014705882353
2018,23,HURD,REPUBLICAN,902.4448529411765
2018,23,ORTIZ JONES,DEMOCRAT,332.51691176470587
2020,11,GONZALES,REPUBLICAN,2.2216456634544106
2020,11,ORTIZ JONES,DEMOCRAT,0.5070422535211268
2020,11,VILLELA,LIBERTARIAN,0.07338769458858413
2020,23,GONZALES,REPUBLICAN,1136.7783543365456
2020,23,ORTIZ JONES,DEMOCRAT,339.49295774647885
2020,23,VILLELA,LIBERTARIAN,23.926612305411417
2022,11,GONZALES,REPUBLICAN,1.8236658932714616
2022,11,LIRA,DEMOCRAT,0.34802784222737815
2022,11,LOPEZ,OTHER,0.0765661252900232
2022,23,GONZALES,REPUBLICAN,944.1763341067285
2022,23,LIRA,DEMOCRAT,222.65197215777263
2022,23,LOPEZ,OTHER,50.92343387470998
2024,11,GONZALES,REPUBLICAN,2.150812064965197
2024,11,LIMON,DEMOCRAT,0.40371229698375866
2024,23,GONZALES,REPUBLICAN,1055.849187935035
2024,23,LIMON,DEMOCRAT,261.59628770301623
