year,new_district_id,candidate,party,estimated_votes
2016,13,Arrington,REPUBLICAN,11.13676148796499
2016,13,Bonar,LIBERTARIAN,0.9748358862144421
2016,13,Lawson,OTHER,0.3544857768052517
2016,19,Arrington,REPUBLICAN,1279.863238512035
2016,19,Bonar,LIBERTARIAN,108.02516411378556
2016,19,Lawson,OTHER,43.64551422319475
2018,13,ARRINGTON,REPUBLICAN,8.980306345733043
2018,13,LEVARIO,DEMOCRAT,3.2494529540481403
2018,19,ARRINGTON,REPUBLICAN,1016.019693654267
2018,19,LEVARIO,DEMOCRAT,378.75054704595186
2020,13,ARRINGTON,REPUBLICAN,12.496115427302996
2020,13,BURNES,LIBERTARIAN,0.26970033296337403
2020,13,WATSON,DEMOCRAT,3.715871254162042
2020,19,ARRINGTON,REPUBLICAN,1409.503884572697
2020,19,BURNES,LIBERTARIAN,30.730299667036626
2020,19,WATSON,DEMOCRAT,431.28412874583796
2022,13,ARRINGTON,REPUBLICAN,8.690344062153162
2022,13,LEWIS,OTHER,1.7680355160932297
2022,19,ARRINGTON,REPUBLICAN,987.3096559378469
2022,19,LEWIS,OTHER,220.23196448390678
2024,13,ARRINGTON,REPUBLICAN,12.945615982241954
2024,13,JOHNSON,LIBERTARIAN,1.3784683684794672
2024,13,LEWIS,OTHER,1.6182019977802442
2024,19,ARRINGTON,REPUBLICAN,1477.054384017758
2024,19,JOHNSON,LIBERTARIAN,136.62153163152053
2024,19,LEWIS,OTHER,177.38179800221974
