year,new_district_id,candidate,party,estimated_votes
2016,3,Rankin,LIBERTARIAN,75.48696124358933
2016,3,Sessions,REPUBLICAN,477.57661173241064
2016,3,Stuard,OTHER,31.881862760948042
2016,4,Kolis,LIBERTARIAN,6.072511697190284
2016,4,Marchant,REPUBLICAN,150.08601357441754
2016,4,McCormick,OTHER,3.013592672349604
2016,4,McDowell,DEMOCRAT,87.50775423698346
2016,4,Rankin,LIBERTARIAN,90.58026080771899
2016,4,Sessions,REPUBLICAN,384.19933849907807
2016,4,Stuard,OTHER,58.759444436024324
2016,5,Ashby,LIBERTARIAN,15449.32535184541
2016,5,Bernice Johnson,DEMOCRAT,1241.0871698876256
2016,5,Hensarling,REPUBLICAN,33472.52079355007
2016,5,Lingerfelt,REPUBLICAN,364.8052049902293
2016,5,Prentice,OTHER,20.30304479297062
2016,5,Rankin,LIBERTARIAN,8836.718782974796
2016,5,Sessions,REPUBLICAN,32093.994229468055
2016,5,Stuard,OTHER,4698.100701185297
2016,5,Woods,LIBERTARIAN,47.684890292497826
2016,6,Ashby,LIBERTARIAN,0.0
2016,6,Bernice Johnson,DEMOCRAT,802.5211413730547
2016,6,Hensarling,REPUBLICAN,0.0
2016,6,Kolis,LIBERTARIAN,705.7878159451155
2016,6,Lingerfelt,REPUBLICAN,249.42030049019107
2016,6,Marchant,REPUBLICAN,9833.355023043798
2016,6,McCormick,OTHER,423.9443144801024
2016,6,McDowell,DEMOCRAT,12607.352899576495
2016,6,Mitchell,REPUBLICAN,9774.21344957087
2016,6,Prentice,OTHER,7.35160566648915
2016,6,Veasey,DEMOCRAT,10993.045068074223
2016,6,Woods,LIBERTARIAN,23.225997255310347
2016,24,Ashby,LIBERTARIAN,5.9582753824756605
2016,24,Bernice Johnson,DEMOCRAT,223.07015995254181
2016,24,Boler,LIBERTARIAN,3.6892640464257447
2016,24,Burgess,REPUBLICAN,63.50934651320995
2016,24,Hensarling,REPUBLICAN,15.471488178025034
2016,24,Kolis,LIBERTARIAN,1229.0996253751846
2016,24,Lingerfelt,REPUBLICAN,59.27083566874275
2016,24,Marchant,REPUBLICAN,23548.420558049947
2016,24,Mauck,DEMOCRAT,43.5896230684863
2016,24,McCormick,OTHER,524.6059117290332
2016,24,McDowell,DEMOCRAT,16543.832754766656
2016,24,Mitchell,REPUBLICAN,51.75821468152899
2016,24,Prentice,OTHER,2.7159786702045285
2016,24,Rankin,LIBERTARIAN,6789.472326917299
2016,24,Sessions,REPUBLICAN,37204.84992864974
2016,24,Stuard,OTHER,3257.5470464633295
2016,24,Veasey,DEMOCRAT,148.41859291761457
2016,24,Woods,LIBERTARIAN,5.721593847269018
2016,25,Kolis,LIBERTARIAN,0.0
2016,25,Marchant,REPUBLICAN,0.0
2016,25,McCormick,OTHER,0.0
2016,25,McDowell,DEMOCRAT,0.0
2016,25,Mitchell,REPUBLICAN,49.545115774720735
2016,25,Veasey,DEMOCRAT,35.42095825780336
2016,26,Boler,LIBERTARIAN,2.310735953574255
2016,26,Burgess,REPUBLICAN,38.49065348679004
2016,26,Kolis,LIBERTARIAN,42.31616005553217
2016,26,Marchant,REPUBLICAN,826.8323784104077
2016,26,Mauck,DEMOCRAT,26.410376931513696
2016,26,McCormick,OTHER,19.82860789202562
2016,26,McDowell,DEMOCRAT,587.0947159433262
2016,30,Ashby,LIBERTARIAN,0.5564057421451787
2016,30,Bernice Johnson,DEMOCRAT,121401.91330558801
2016,30,Hensarling,REPUBLICAN,1.9753521126760563
2016,30,Lingerfelt,REPUBLICAN,24009.0242969224
2016,30,Mitchell,REPUBLICAN,993.9903212564735
2016,30,Prentice,OTHER,1141.1894292792047
2016,30,Rankin,LIBERTARIAN,6.627677140288386
2016,30,Sessions,REPUBLICAN,7.281488031587227
2016,30,Stuard,OTHER,4.685643990797873
2016,30,Veasey,DEMOCRAT,6042.226353923941
2016,30,Woods,LIBERTARIAN,2576.459694745098
2016,32,Ashby,LIBERTARIAN,452.1859083198469
2016,32,Hensarling,REPUBLICAN,414.2505072959435
2016,32,Kolis,LIBERTARIAN,1048.7579183580488
2016,32,Marchant,REPUBLICAN,13884.412541454707
2016,32,McCormick,OTHER,486.17080054626683
2016,32,McDowell,DEMOCRAT,14282.295157055105
2016,32,Rankin,LIBERTARIAN,18679.99850657462
2016,32,Sessions,REPUBLICAN,66255.80305008097
2016,32,Stuard,OTHER,10119.023762940848
2016,33,Ashby,LIBERTARIAN,8616.974058710122
2016,33,Bernice Johnson,DEMOCRAT,46833.40822319876
2016,33,Hensarling,REPUBLICAN,12790.781858863285
2016,33,Kolis,LIBERTARIAN,545.9659685689288
2016,33,Lingerfelt,REPUBLICAN,16835.47936192844
2016,33,Marchant,REPUBLICAN,7423.893485466716
2016,33,McCormick,OTHER,241.43677268022245
2016,33,McDowell,DEMOCRAT,9648.916718421435
2016,33,Mitchell,REPUBLICAN,7870.492898716406
2016,33,Prentice,OTHER,881.4399415911311
2016,33,Rankin,LIBERTARIAN,6413.11548434169
2016,33,Sessions,REPUBLICAN,13435.295353538153
2016,33,Stuard,OTHER,3644.0015382227543
2016,33,Veasey,DEMOCRAT,26846.88902682641
2016,33,Woods,LIBERTARIAN,2099.907823859824
2018,3,ALLRED,DEMOCRAT,239.36236021711557
2018,3,BAKER,LIBERTARIAN,15.355564701410074
2018,3,SESSIONS,REPUBLICAN,388.21786960085495
2018,4,ALLRED,DEMOCRAT,350.96956317148056
2018,4,BAKER,LIBERTARIAN,9.37052239034445
2018,4,KOLLS,LIBERTARIAN,4.123544142107863
2018,4,MARCHANT,REPUBLICAN,134.13837066194904
2018,4,MCDOWELL,DEMOCRAT,104.9644683208204
2018,4,SESSIONS,REPUBLICAN,289.7801937035174
2018,5,ALLRED,DEMOCRAT,30085.307800867282
2018,5,BAKER,LIBERTARIAN,1223.3637304129484
2018,5,BERNICE JOHNSON,DEMOCRAT,1245.3779033225883
2018,5,GOODEN,REPUBLICAN,25542.721679427614
2018,5,JONES,LIBERTARIAN,141.25018362597825
2018,5,SESSIONS,REPUBLICAN,23991.93246949214
2018,5,WOOD,DEMOCRAT,33279.7081905353
2018,6,BERNICE JOHNSON,DEMOCRAT,836.3124788799786
2018,6,BILLUPS,REPUBLICAN,7919.69093606189
2018,6,GOODEN,REPUBLICAN,0.0
2018,6,JONES,LIBERTARIAN,90.06358890583788
2018,6,KOLLS,LIBERTARIAN,414.29058821243626
2018,6,MARCHANT,REPUBLICAN,8540.282722757092
2018,6,MCDOWELL,DEMOCRAT,13493.55211237263
2018,6,REEVES,LIBERTARIAN,451.3414495661736
2018,6,VEASEY,DEMOCRAT,10977.638084723298
2018,6,WOOD,DEMOCRAT,0.0
2018,24,ALLRED,DEMOCRAT,22567.587986173952
2018,24,BAKER,LIBERTARIAN,709.5389271387979
2018,24,BERNICE JOHNSON,DEMOCRAT,222.65026925239297
2018,24,BILLUPS,REPUBLICAN,38.64839411317599
2018,24,BOLER,LIBERTARIAN,0.6148773410709575
2018,24,BURGESS,REPUBLICAN,51.88758916547502
2018,24,FAGAN,DEMOCRAT,49.79930861180913
2018,24,GOODEN,REPUBLICAN,12.292072322670375
2018,24,JONES,LIBERTARIAN,25.258497631694112
2018,24,KOLLS,LIBERTARIAN,716.424483051874
2018,24,MARCHANT,REPUBLICAN,20122.188769798653
2018,24,MCDOWELL,DEMOCRAT,19724.547904717907
2018,24,REEVES,LIBERTARIAN,3.767508674743402
2018,24,SESSIONS,REPUBLICAN,30102.00759918049
2018,24,VEASEY,DEMOCRAT,160.2851585674074
2018,24,WOOD,DEMOCRAT,12.642559109874826
2018,25,BILLUPS,REPUBLICAN,41.53449344593842
2018,25,KOLLS,LIBERTARIAN,0.0
2018,25,MARCHANT,REPUBLICAN,0.0
2018,25,MCDOWELL,DEMOCRAT,0.0
2018,25,REEVES,LIBERTARIAN,1.800530517494352
2018,25,VEASEY,DEMOCRAT,36.84690286096817
2018,26,BOLER,LIBERTARIAN,0.38512265892904246
2018,26,BURGESS,REPUBLICAN,31.112410834524983
2018,26,FAGAN,DEMOCRAT,30.20069138819087
2018,26,KOLLS,LIBERTARIAN,21.64717368405343
2018,26,MARCHANT,REPUBLICAN,704.9578547333014
2018,26,MCDOWELL,DEMOCRAT,678.1401277084022
2018,30,ALLRED,DEMOCRAT,22.47923926749101
2018,30,BAKER,LIBERTARIAN,0.8709980617940642
2018,30,BERNICE JOHNSON,DEMOCRAT,114767.87877904564
2018,30,BILLUPS,REPUBLICAN,696.7966033492868
2018,30,GOODEN,REPUBLICAN,1.5239707475622968
2018,30,JONES,LIBERTARIAN,9519.234239750955
2018,30,REEVES,LIBERTARIAN,126.13539426373111
2018,30,SESSIONS,REPUBLICAN,5.018116701807923
2018,30,VEASEY,DEMOCRAT,5996.8713803614355
2018,30,WOOD,DEMOCRAT,1.1128114842903574
2018,32,ALLRED,DEMOCRAT,62743.57224526602
2018,32,BAKER,LIBERTARIAN,2355.59042278979
2018,32,GOODEN,REPUBLICAN,289.7235877366886
2018,32,KOLLS,LIBERTARIAN,594.0696876442397
2018,32,MARCHANT,REPUBLICAN,11693.573748386649
2018,32,MCDOWELL,DEMOCRAT,16196.029089837592
2018,32,SESSIONS,REPUBLICAN,50804.08027495605
2018,32,WOOD,DEMOCRAT,836.9829745876104
2018,33,ALLRED,DEMOCRAT,19566.720805036653
2018,33,BAKER,LIBERTARIAN,665.9098345049156
2018,33,BERNICE JOHNSON,DEMOCRAT,49711.7805694994
2018,33,BILLUPS,REPUBLICAN,5791.329573029709
2018,33,GOODEN,REPUBLICAN,9741.73868976546
2018,33,JONES,LIBERTARIAN,6614.193490085533
2018,33,KOLLS,LIBERTARIAN,292.4445232652886
2018,33,MARCHANT,REPUBLICAN,6074.858533662371
2018,33,MCDOWELL,DEMOCRAT,10791.766297042648
2018,33,REEVES,LIBERTARIAN,822.9551169778576
2018,33,SESSIONS,REPUBLICAN,9506.963476365147
2018,33,VEASEY,DEMOCRAT,27388.358473486893
2018,33,WOOD,DEMOCRAT,18036.553464282933
2020,3,ALLRED,DEMOCRAT,333.8826892297395
2020,3,COLLINS,REPUBLICAN,516.7062496029473
2020,3,MOWREY PETERSON,LIBERTARIAN,14.085840100043534
2020,3,SIGMON,OTHER,7.367554949827111
2020,4,ALLRED,DEMOCRAT,486.85302758987467
2020,4,BAUER,OTHER,2.1176600232274976
2020,4,COLLINS,REPUBLICAN,385.66955570081916
2020,4,HAMILTON,LIBERTARIAN,4.761274962281869
2020,4,KUZMICH,OTHER,1.7246754516184315
2020,4,MOWREY PETERSON,LIBERTARIAN,9.901918469779304
2020,4,SIGMON,OTHER,2.8198532841463453
2020,4,VALENZUELA,DEMOCRAT,132.24217775937177
2020,4,VANDUYNE,REPUBLICAN,156.2389036225702
2020,5,ALLRED,DEMOCRAT,37574.23960525948
2020,5,BERNICE JOHNSON,DEMOCRAT,1553.1454614673314
2020,5,COLLINS,REPUBLICAN,29578.596688523663
2020,5,GOODEN,REPUBLICAN,31039.547619741228
2020,5,HALE,LIBERTARIAN,1832.4556409660568
