old_precinct_id,new_district_id,fragment_population,precinct_total,weight
1131000,5,4270,4270,1.0
1131001,5,7693,7693,1.0
1131002,5,11740,11740,1.0
1131003,24,11,9721,0.001131570826046703
1131003,32,9710,9721,0.9988684291739532
1131004,5,0,6130,0.0
1131004,32,6130,6130,1.0
1131005,5,421,4943,0.08517094881650819
1131005,32,4522,4943,0.9148290511834918
1131006,5,884,3848,0.22972972972972974
1131006,32,2964,3848,0.7702702702702703
1131007,5,1681,2078,0.8089509143407122
1131007,32,397,2078,0.19104908565928777
1131008,5,7556,10570,0.7148533585619679
1131008,24,2351,10570,0.22242194891201514
1131008,32,663,10570,0.06272469252601703
1131009,5,7616,7616,1.0
1131010,5,5371,9601,0.5594208936569107
1131010,24,4230,9601,0.4405791063430893
1131010,32,0,9601,0.0
1131011,5,10779,10779,1.0
1131012,5,2251,2452,0.918026101141925
1131012,24,201,2452,0.08197389885807504
1131013,24,1126,8649,0.13018846109376805
1131013,33,7523,8649,0.869811538906232
1131014,24,3775,12392,0.3046320206584893
1131014,33,8617,12392,0.6953679793415106
1131015,24,6135,12023,0.5102719787074773
1131015,33,5888,12023,0.4897280212925227
1131016,33,1169,1169,1.0
1131017,24,3197,4428,0.721996386630533
1131017,33,1231,4428,0.27800361336946705
1131018,24,2091,3358,0.6226920786182252
1131018,33,1267,3358,0.3773079213817749
1131019,24,1140,6856,0.16627771295215868
1131019,33,5716,6856,0.8337222870478413
1131020,24,4165,5020,0.8296812749003984
1131020,33,855,5020,0.17031872509960158
1131021,24,1610,5231,0.3077805390938635
1131021,33,3621,5231,0.6922194609061365
1131022,24,1296,8917,0.14534036110799597
1131022,33,7621,8917,0.854659638892004
1131023,5,882,5294,0.16660370230449564
1131023,33,4412,5294,0.8333962976955044
1131026,32,2656,2656,1.0
1131027,5,0,16418,0.0
1131027,32,16418,16418,1.0
1131028,5,2534,12088,0.20962938451356716
1131028,32,9554,12088,0.7903706154864328
1131029,32,9264,9264,1.0
1131030,32,12622,12622,1.0
1131032,32,3066,3066,1.0
1131033,32,4949,4949,1.0
1131035,32,794,794,1.0
1131036,32,11797,11797,1.0
1131037,32,12909,12909,1.0
1131038,5,5335,20074,0.2657666633456212
1131038,32,14739,20074,0.7342333366543788
1131039,5,1772,2684,0.6602086438152012
1131039,32,912,2684,0.33979135618479883
1131040,5,12118,16315,0.742752068648483
1131040,32,4197,16315,0.257247931351517
1131041,5,5350,14347,0.3729002578936363
1131041,32,8997,14347,0.6270997421063637
1131042,5,0,8804,0.0
1131042,32,8804,8804,1.0
1131043,5,4924,14036,0.35081219720718154
1131043,32,9112,14036,0.6491878027928185
1131044,5,8676,10400,0.8342307692307692
1131044,32,1724,10400,0.16576923076923078
1131045,5,2150,10497,0.2048204248833
1131045,33,8347,10497,0.7951795751167
1131046,33,1051,1051,1.0
1131047,5,9,6505,0.0013835511145272868
1131047,33,6496,6505,0.9986164488854727
1131048,5,0,3601,0.0
1131048,33,3601,3601,1.0
1131049,5,9070,9070,1.0
1131050,5,994,1940,0.5123711340206185
1131050,33,946,1940,0.48762886597938143
1131051,5,149,3358,0.04437164979154259
1131051,33,3209,3358,0.9556283502084574
1131052,5,0,7029,0.0
1131052,33,7029,7029,1.0
1131054,33,5670,5670,1.0
1131055,5,44,3189,0.013797428661022263
1131055,33,3145,3189,0.9862025713389777
1131056,5,268,4170,0.06426858513189448
1131056,33,3902,4170,0.9357314148681055
1131057,5,616,6201,0.0993388163199484
1131057,33,5585,6201,0.9006611836800517
1131058,33,4458,4458,1.0
1131059,33,4778,4778,1.0
1131060,5,18,7670,0.002346805736636245
1131060,33,7652,7670,0.9976531942633637
1131061,33,3173,3173,1.0
1131062,5,332,873,0.38029782359679265
1131062,33,541,873,0.6197021764032073
1131063,5,640,7509,0.08523105606605406
1131063,33,6869,7509,0.9147689439339459
1131064,33,2006,2006,1.0
1131065,5,1960,15332,0.12783720323506392
1131065,33,13372,15332,0.8721627967649361
1131067,5,69,416,0.1658653846153846
1131067,33,347,416,0.8341346153846154
1131068,5,510,1477,0.34529451591062965
1131068,33,967,1477,0.6547054840893703
1131069,33,385,385,1.0
1131070,30,101,5970,0.0169179229480737
1131070,33,5869,5970,0.9830820770519263
1131071,5,67,6137,0.010917386345119766
1131071,33,6070,6137,0.9890826136548803
1131073,30,72,8136,0.008849557522123894
1131073,33,8064,8136,0.9911504424778761
1131074,30,37,4464,0.008288530465949821
1131074,33,4427,4464,0.9917114695340502
1131075,5,672,5455,0.1231897341888176
1131075,30,0,5455,0.0
1131075,33,4783,5455,0.8768102658111824
1131076,5,1512,6319,0.23927836683019466
1131076,33,4807,6319,0.7607216331698053
1131077,33,3060,3060,1.0
1131078,30,0,8196,0.0
1131078,33,8196,8196,1.0
1131079,33,6902,6902,1.0
1131080,33,5587,5587,1.0
1131081,33,7887,7887,1.0
1131082,30,13,3510,0.003703703703703704
1131082,33,3497,3510,0.9962962962962963
1131083,30,122,7436,0.0164066702528241
1131083,33,7314,7436,0.983593329747176
1131084,33,6235,6235,1.0
1131085,33,6641,6641,1.0
1131086,33,4974,4974,1.0
1131087,5,90,8375,0.010746268656716417
1131087,33,8285,8375,0.9892537313432835
1131088,33,11740,11740,1.0
1131089,5,3025,12473,0.24252385151928166
1131089,33,9448,12473,0.7574761484807183
1131090,33,7658,7658,1.0
1131091,33,8212,8212,1.0
1131092,33,15201,15201,1.0
1131093,5,2256,6943,0.3249315857698401
1131093,33,4687,6943,0.6750684142301598
1131094,30,221,5578,0.039619935460738616
1131094,33,5357,5578,0.9603800645392614
1131095,33,6145,6145,1.0
1131096,33,5437,5437,1.0
1131097,33,10081,10081,1.0
1131098,33,9508,9508,1.0
1131099,5,1392,4291,0.324399906781636
1131099,33,2899,4291,0.675600093218364
1131100,30,7587,7808,0.9716956967213115
1131100,33,221,7808,0.028304303278688523
1131101,30,2239,9812,0.22818997146351405
1131101,33,7573,9812,0.771810028536486
1131102,33,8348,8348,1.0
1131103,33,4017,4017,1.0
1131104,33,9064,9064,1.0
1131105,33,2607,2607,1.0
1131106,33,2715,2715,1.0
1131107,33,5695,5695,1.0
1131108,30,0,8970,0.0
1131108,33,8970,8970,1.0
1131109,30,1906,6562,0.2904602255409936
1131109,33,4656,6562,0.7095397744590064
1131110,33,1087,1087,1.0
1131111,30,527,6273,0.08401084010840108
1131111,33,5746,6273,0.9159891598915989
1131112,30,1954,2042,0.9569049951028403
1131112,33,88,2042,0.043095004897159644
1131113,30,1235,4234,0.29168634860651865
1131113,33,2999,4234,0.7083136513934813
1131114,5,445,7379,0.06030627456294891
1131114,33,6934,7379,0.9396937254370511
1131115,33,5137,5137,1.0
1131116,5,471,5833,0.08074747128407338
1131116,33,5362,5833,0.9192525287159267
1131117,24,2215,7993,0.27711747779306894
1131117,33,5778,7993,0.722882522206931
1131118,33,4621,4621,1.0
1131119,30,5053,7114,0.7102895698622435
1131119,33,2061,7114,0.28971043013775655
1131120,24,3667,6060,0.6051155115511551
1131120,33,2393,6060,0.3948844884488449
1131121,5,1378,10494,0.13131313131313133
1131121,33,9116,10494,0.8686868686868687
1131122,33,1684,1684,1.0
1131124,30,494,1108,0.44584837545126355
1131124,33,614,1108,0.5541516245487365
1131125,5,1683,10592,0.15889350453172205
1131125,33,8909,10592,0.841106495468278
1131126,5,9224,9224,1.0
1131127,24,11,5950,0.0018487394957983194
1131127,32,5939,5950,0.9981512605042017
1131128,5,1220,1220,1.0
1131129,5,89,2681,0.03319656844461022
1131129,33,2592,2681,0.9668034315553897
1131130,33,7544,7544,1.0
1131131,24,247,5323,0.04640240465902686
1131131,33,5076,5323,0.9535975953409731
1131132,33,936,936,1.0
1131133,33,2760,2760,1.0
1131134,33,1455,1455,1.0
1131135,5,1231,8024,0.15341475573280158
1131135,33,6793,8024,0.8465852442671984
1131136,33,98,98,1.0
1131137,33,569,569,1.0
1131138,33,739,739,1.0
1131139,5,448,448,1.0
1131140,30,268,536,0.5
1131140,33,268,536,0.5
1131141,5,0,462,0.0
1131141,33,462,462,1.0
1131300,5,8965,10079,0.8894731620200417
1131300,33,1114,10079,0.11052683797995833
1131301,5,7463,7664,0.9737734864300627
1131301,33,201,7664,0.026226513569937368
1131302,5,5213,5213,1.0
1131302,33,0,5213,0.0
1131303,5,971,1927,0.5038920601971977
1131303,33,956,1927,0.49610793980280227
1131304,5,4355,4355,1.0
1131305,5,7790,9349,0.8332441972403466
1131305,33,1559,9349,0.16675580275965343
1131307,5,936,973,0.9619732785200411
1131307,33,37,973,0.03802672147995889
1131308,5,7331,7341,0.9986377877673341
1131308,33,10,7341,0.0013622122326658493
1131309,5,2086,2086,1.0
1131309,33,0,2086,0.0
1131310,5,8584,8584,1.0
1131311,5,4450,4480,0.9933035714285714
1131311,33,30,4480,0.006696428571428571
1131312,5,6511,8929,0.7291969985440698
1131312,33,2418,8929,0.2708030014559301
1131313,5,2718,4955,0.5485368314833502
1131313,33,2237,4955,0.45146316851664986
1131314,5,9707,13132,0.739186719463905
1131314,33,3425,13132,0.26081328053609504
1131315,5,355,740,0.4797297297297297
1131315,33,385,740,0.5202702702702703
1131316,5,2551,2551,1.0
1131317,5,2086,2086,1.0
1131317,33,0,2086,0.0
1131500,32,12262,12262,1.0
1131501,32,6745,6745,1.0
1131502,32,7018,7018,1.0
1131503,32,8170,8170,1.0
1131504,32,5642,5642,1.0
1131700,5,0,8459,0.0
1131700,32,8459,8459,1.0
1131701,32,7682,7682,1.0
1131702,5,250,9207,0.027153252959704572
1131702,32,8957,9207,0.9728467470402954
1131703,32,12200,12200,1.0
1131704,32,4387,4387,1.0
1131705,32,7384,7384,1.0
1131706,5,0,11006,0.0
1131706,32,11006,11006,1.0
1131707,5,116,8984,0.012911843276936777
1131707,32,8868,8984,0.9870881567230633
1131708,5,558,4432,0.1259025270758123
1131708,32,3874,4432,0.8740974729241877
1131709,5,9966,11087,0.8988905925859114
1131709,32,1121,11087,0.10110940741408857
1131710,5,5863,7113,0.8242654294952904
1131710,32,1250,7113,0.1757345705047097
1131711,5,7917,8570,0.9238039673278879
1131711,32,653,8570,0.07619603267211202
1131712,5,4805,5174,0.9286818708929262
1131712,32,369,5174,0.07131812910707383
1131713,5,3216,3216,1.0
1131714,5,9371,9371,1.0
1131715,5,8551,8551,1.0
1131716,5,4837,4837,1.0
1131717,5,8865,8865,1.0
1131718,5,7510,7510,1.0
1131719,5,7581,7581,1.0
1131719,33,0,7581,0.0
1131720,5,6391,6391,1.0
1131721,5,4102,4102,1.0
