year,new_district_id,candidate,party,estimated_votes
2016,13,DeWeese,LIBERTARIAN,277.3823855914908
2016,13,Thornberry,REPUBLICAN,3254.636437300748
2016,13,Tomlinson,OTHER,91.75605064345314
2016,19,DeWeese,LIBERTARIAN,0.617614408509187
2016,19,Thornberry,REPUBLICAN,8.36356269925149
2016,19,Tomlinson,OTHER,0.2439493565468674
2018,13,DEWEESE,LIBERTARIAN,44.91898134865198
2018,13,SAGAN,DEMOCRAT,918.5676035522337
2018,13,THORNBERRY,REPUBLICAN,2785.0617628296195
2018,19,DEWEESE,LIBERTARIAN,0.08101865134801556
2018,19,SAGAN,DEMOCRAT,2.43239644776636
2018,19,THORNBERRY,REPUBLICAN,6.9382371703804635
2020,13,JACKSON,REPUBLICAN,3197.5400956011244
2020,13,TRUJILLO,DEMOCRAT,1263.435548061851
2020,13,WESTBROOK,LIBERTARIAN,64.88335299349995
2020,19,JACKSON,REPUBLICAN,8.459904398875441
2020,19,TRUJILLO,DEMOCRAT,3.564451938148973
2020,19,WESTBROOK,LIBERTARIAN,0.11664700650004663
2022,13,BROWN,DEMOCRAT,644.3854117082498
2022,13,JACKSON,REPUBLICAN,2281.943718256468
2022,19,BROWN,DEMOCRAT,1.6145882917502674
2022,19,JACKSON,REPUBLICAN,6.056281743532071
2024,13,JACKSON,REPUBLICAN,3535.2415338532173
2024,19,JACKSON,REPUBLICAN,9.758466146783027
